"team","season","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance"
"SAC","2020-21",9,58,0.805555555555556,2,2,1,9,5,2,6,0.21875,0.21875,0.19375,0.17362012987013,0.07890625,0.184317672034526,1,0,1,0,2,0.00780437044745058,0.00780437044745058,NA,NA,NA
"SAS","2020-21",9,60,0.833333333333333,3,3,1,9,5,1,6,0.1875,0.1875,0.151813811188811,0.166477272727273,0.0344866071428571,0.166107310092737,1,0,1,0,1,0,0,NA,NA,NA
"TOR","2020-21",17,105,0.386029411764706,0,0,3,15,5,5,8,0.38671875,0.38671875,NA,NA,0.0959037078373016,0.484770687533623,6,0.0327891156462585,4,0.0168707482993194,4,0.0866130422292445,0.0866130422292445,NA,NA,NA
"UTA","2020-21",11,60,0.545454545454545,0,0,3,9,5,3,6,0.28,0.28,NA,NA,0.024962962962963,0.349011228495481,4,0.00986111111111113,3,0,4,0.00780437044745058,0.00986111111111113,NA,NA,NA
"WAS","2020-21",12,71,0.537878787878788,2,2,1,12,5,4,5,0.504132231404959,0.504132231404959,0.339355254933639,0.339800887732213,0.166446280991736,0.402183593608613,1,0,1,0,2,0.0540123456790123,0.0540123456790123,NA,NA,NA
"ATL","2021-22",14,96,0.527472527472527,0,0,2,13,5,5,7,0.42603550295858,0.42603550295858,NA,NA,0.162278106508876,0.386127885410165,4,0.0303819444444445,2,0,3,0.078239138792772,0.078239138792772,NA,NA,NA
"BOS","2021-22",13,96,0.615384615384615,2,2,1,13,5,4,7,0.416666666666667,0.236111111111111,0.293768149205456,0.142851307189543,0.118270502645503,0.311257499534047,1,0,1,0,2,0.0684352172241445,0.0684352172241445,NA,NA,NA
"BKN","2021-22",14,97,0.532967032967033,3,3,1,14,5,4,6,0.502958579881657,0.420118343195266,0.33726384442497,0.269321493406162,0.156788297172913,0.397977585209094,2,0.0292804761398661,1,0,3,0.0788536845852617,0.0788536845852617,NA,NA,NA
"CHA","2021-22",12,91,0.689393939393939,0,0,1,12,5,3,8,0.338842975206612,0.239669421487603,NA,0.20186026904549,0.0932703659976387,0.235568164111036,1,0,1,0,3,0.0168679716784673,0.0168679716784673,NA,NA,NA
"CHI","2021-22",11,65,0.590909090909091,0,0,1,11,5,4,6,0.45,0.34,NA,0.286581196581197,0.18987037037037,0.337374701290345,1,0,1,0,4,0,0,NA,NA,NA
"CLE","2021-22",11,68,0.618181818181818,1,1,1,11,5,4,6,0.42,0.42,0.305187842343415,0.3043671679198,0.2595,0.330368821559555,1,0,1,0,2,0.0416666666666667,0.0416666666666667,NA,NA,NA
"DAL","2021-22",14,101,0.554945054945055,2,2,1,14,5,3,6,0.479289940828402,0.479289940828402,0.335357624831309,0.336826408885232,0.211226166995398,0.402807975983458,3,0.045044603470248,4,0.00852857562984022,3,0.0590082644628099,0.0590082644628099,NA,NA,NA
"DEN","2021-22",13,99,0.634615384615385,2,2,1,13,5,4,7,0.395833333333333,0.395833333333333,0.286777107839414,0.285759602884216,0.124258207070707,0.319999240186003,3,0.0151004999489848,4,0.000102030405060627,2,0.0582057671769313,0.0582057671769313,NA,NA,NA
"DET","2021-22",12,78,0.590909090909091,1,1,1,12,5,4,6,0.347107438016529,0.347107438016529,0.230442842643799,0.227103869954982,0.244793388429752,0.344734512254766,1,0,1,0,3,0.044913741820345,0.044913741820345,NA,NA,NA
"GSW","2021-22",12,100,0.757575757575758,2,2,1,12,5,3,8,0.264462809917355,0.264462809917355,0.211388611388611,0.209140859140859,0.105442739079103,0.210905847839696,1,0,1,0,2,0.0325738697045212,0.0325738697045212,NA,NA,NA
"HOU","2021-22",15,127,0.604761904761905,0,0,1,15,5,4,8,0.270408163265306,0.270408163265306,NA,0.198576685235894,0.0913601704418031,0.308703898040962,3,0.0092690185380371,2,0,2,0.0445501730103806,0.0445501730103806,NA,NA,NA
"IND","2021-22",15,90,0.428571428571429,2,2,1,15,5,4,5,0.306122448979592,0.229591836734694,0.193919714688348,0.152528907133149,0.123617453974597,0.410038458025501,2,0.222160493827161,2,0.227407407407407,2,0.214077467721783,0.227407407407407,NA,NA,NA
"LAC","2021-22",15,97,0.461904761904762,0,0,2,14,5,5,7,0.423469387755102,0.346938775510204,NA,NA,0.100470957613815,0.426547371273365,4,0.0151450738654479,6,0.00276331172281852,4,0.0885724852071006,0.0885724852071006,NA,NA,NA
"LAL","2021-22",12,71,0.537878787878788,1,1,1,12,5,4,5,0.504132231404959,0.504132231404959,0.350700036430405,0.348063611967355,0.215206611570248,0.387067735973651,1,0,1,0,2,0.0496875,0.0496875,NA,NA,NA
"MEM","2021-22",11,90,0.818181818181818,5,5,1,11,5,2,7,0.2,0.2,0.165531135531135,0.165054945054945,0.024542328042328,0.17551816228813,1,0,1,0,2,0,0,NA,NA,NA
"MIA","2021-22",11,86,0.781818181818182,3,3,1,11,5,2,6,0.24,0.24,0.187253824606766,0.196959706959707,0.0401772486772487,0.202483171996762,1,0,1,0,1,0,0,NA,NA,NA
"MIL","2021-22",16,75,0.3125,0,0,2,15,5,7,5,0.52,0.448888888888889,NA,NA,0.200465608465608,0.549973136854851,2,0,2,0,4,0.092687074829932,0.092687074829932,NA,NA,NA
"MIN","2021-22",12,94,0.712121212121212,0,0,2,11,5,3,8,0.214876033057851,0.214876033057851,NA,NA,0.017512790240063,0.231081723394105,2,0,2,0,2,0,0,NA,NA,NA
"NOP","2021-22",16,127,0.529166666666667,0,0,1,16,5,5,7,0.288888888888889,0.288888888888889,NA,0.206944620478227,0.135094711285188,0.335935225371996,4,0.0613801227602455,7,0.0179180358360718,2,0.137626262626263,0.137626262626263,NA,NA,NA
"NYK","2021-22",11,54,0.490909090909091,0,0,3,9,5,3,5,0.34,0.34,NA,NA,0.043962962962963,0.409977602807199,3,0,3,0,4,0.0299744897959184,0.0299744897959184,NA,NA,NA
"OKC","2021-22",13,112,0.717948717948718,4,4,1,13,5,3,7,0.305555555555556,0.305555555555556,0.236464015430734,0.237798284518486,0.0630080567580567,0.261459053550852,2,0.0253507653061225,4,0.00462372448979598,2,0.073972996265441,0.073972996265441,NA,NA,NA
"ORL","2021-22",11,88,0.8,2,2,1,11,5,3,8,0.11,0.22,0.070940170940171,0.180555555555556,0.100687830687831,0.14468514586582,3,0.00174328512396695,1,0,2,0.0345679012345679,0.0345679012345679,NA,NA,NA
"PHI","2021-22",13,104,0.666666666666667,0,0,1,13,5,3,7,0.270833333333333,0.270833333333333,NA,0.228345053299097,0.0675843253968254,0.277042851029333,1,0,2,0,2,0.0231481481481481,0.0231481481481481,NA,NA,NA
"PHX","2021-22",14,91,0.5,1,1,1,14,5,6,6,0.372781065088757,0.372781065088757,0.23818483301515,0.249435480570406,0.174623453469607,0.3910405664509,4,0.0294046612727931,1,0,2,0.0866305705955852,0.0866305705955852,NA,NA,NA
"POR","2021-22",15,60,0.285714285714286,0,0,1,15,5,6,5,0.612244897959184,0.535714285714286,NA,0.402201437706738,0.495977237048666,0.632549252446035,4,0.189583333333333,5,0.175555555555556,3,0.246107266435986,0.246107266435986,NA,NA,NA
"SAC","2021-22",17,108,0.397058823529412,0,0,2,16,5,6,5,0.57421875,0.5078125,NA,NA,0.178567708333333,0.51174940776896,3,0.0736882716049383,2,0,3,0.113881194213604,0.113881194213604,NA,NA,NA
"SAS","2021-22",17,117,0.430147058823529,0,0,3,15,5,4,6,0.47265625,0.47265625,NA,NA,0.136526537698413,0.473177087680704,3,0,3,0,5,0.0540828402366864,0.0540828402366864,NA,NA,NA
"TOR","2021-22",13,93,0.596153846153846,1,1,1,13,5,4,6,0.347222222222222,0.4375,0.223259998443822,0.312957142874948,0.21335076960077,0.334351437015925,1,0,1,0,3,0.0436197916666667,0.0436197916666667,NA,NA,NA
"UTA","2021-22",14,85,0.467032967032967,0,0,2,13,5,5,6,0.49112426035503,0.325443786982249,NA,NA,0.118869165023011,0.433337439665518,3,0.0334948096885813,2,0,3,0.0833333333333333,0.0833333333333333,NA,NA,NA
"WAS","2021-22",14,112,0.615384615384615,2,2,1,14,5,3,6,0.331360946745562,0.331360946745562,0.229388166938774,0.228219237828669,0.0734218800047202,0.334177208347897,3,0.0669642857142857,1,0,2,0.0838287752675386,0.0838287752675386,NA,NA,NA
"ATL","2022-23",13,78,0.5,0,0,2,12,5,5,6,0.451388888888889,0.451388888888889,NA,NA,0.155765993265993,0.425534046391595,3,0.0588428665351742,2,0,3,0.0758477096966092,0.0758477096966092,NA,NA,NA
"BOS","2022-23",12,86,0.651515151515151,0,0,1,12,5,3,6,0.380165289256198,0.28099173553719,NA,0.23231314140405,0.127036599763872,0.293549933633821,4,0.0287993510005408,2,0,3,0.0303703703703704,0.0303703703703704,NA,NA,NA
"BKN","2022-23",16,110,0.458333333333333,2,2,1,16,5,4,6,0.506666666666667,0.435555555555556,0.334652130929782,0.279518223758364,0.218428915000344,0.468911745366072,3,0.123842975206612,5,0.0678512396694215,2,0.168444328824142,0.168444328824142,NA,NA,NA
