"team","season","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance"
"ATL","2022-23",20,277,0.728947368421053,2,2,1,20,5,5,12,0.285318559556787,0.285318559556787,0.218065903103106,0.219259027268181,0.0642308770194273,0.237501352539482,2,0.0618214755828956,5,0.00896662278929727,2,0.0674913194444444,0.0674913194444444,NA,NA,NA
"BOS","2022-23",18,232,0.758169934640523,5,5,1,18,5,0,0,0.259515570934256,0.259515570934256,0.200474414678746,0.204857645962914,0.0384582977576057,0.214333871005204,2,0.0277478448275862,3,0.0118720273483949,2,0.0653050432943354,0.0653050432943354,NA,NA,NA
"BKN","2022-23",25,381,0.635,2,2,1,25,5,6,13,0.380208333333333,0.336805555555556,0.267445917750361,0.227433085339081,0.101408352883866,0.29032527551858,4,0.0556382223875559,1,0,3,0.0806385116854338,0.0806385116854338,NA,NA,NA
"CHA","2022-23",19,280,0.818713450292398,7,7,1,19,5,4,13,0.132716049382716,0.191358024691358,0.0999418849177302,0.153436795711491,0.0144167880755571,0.146910333738931,2,0.00775510204081634,2,0.00778061224489812,2,0.0512494498508485,0.0512494498508485,NA,NA,NA
"CHI","2022-23",18,207,0.676470588235294,3,3,1,18,5,0,0,0.346020761245675,0.283737024221453,0.252429903101474,0.192721354014673,0.0641250617894216,0.264988699191375,2,0.0401059534644916,5,0.0210740040607715,2,0.0931336742147553,0.0931336742147553,NA,NA,NA
"CLE","2022-23",18,245,0.800653594771242,4,4,1,18,5,4,12,0.211072664359862,0.211072664359862,0.164558215414162,0.173329627938989,0.0288723171292375,0.175546200086227,2,0.0126530612244898,5,0.00844648063306952,2,0.0510571021142042,0.0510571021142042,NA,NA,NA
"DAL","2022-23",23,359,0.709486166007905,1,1,1,23,5,4,13,0.208677685950413,0.208677685950413,0.134098953409298,0.134610698146426,0.0532362680506649,0.220335965463657,4,0.0176170265593843,4,0.00115610524437271,2,0.0487772104273045,0.0487772104273045,NA,NA,NA
"DEN","2022-23",18,273,0.892156862745098,10,10,1,18,5,0,0,0.117647058823529,0.117647058823529,0.102800686838203,0.103164919218461,0.00533981589344911,0.102076242716191,2,0.00847992056783268,1,0,2,0.0179856115107914,0.0179856115107914,NA,NA,NA
"DET","2022-23",22,314,0.67965367965368,1,1,1,22,5,5,12,0.285714285714286,0.335600907029478,0.197720295343843,0.247610915645223,0.0929632329122125,0.258565582943441,3,0.0708953710089659,1,0,2,0.0788035395597858,0.0788035395597858,NA,NA,NA
"GSW","2022-23",18,259,0.84640522875817,6,6,1,18,5,0,0,0.166089965397924,0.166089965397924,0.135815279133594,0.13545986703153,0.0148501908990663,0.134098349796478,1,0.00384609651018917,3,0.000298147016293604,2,0.0180903386285262,0.0180903386285262,NA,NA,NA
