TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,SEASON_TYPE,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,DREB_RANK,STL_RANK,BLK_RANK
1610612738,Boston Celtics,19,11,8,0.579,48.5,36.4,83.3,0.437,10.5,30.6,0.343,18.1,23.5,0.767,8.8,32.8,41.7,21.2,11.6,6.8,4.1,5.6,20.4,21.4,101.4,0.7,2017-18,Playoffs,105.1,107.1,104.6,106.2,0.5,0.9,0.582,1.82,16.5,0.256,0.747,0.494,0.123,0.5,0.541,95.3,93.74,78.11,1799,0.499,3,3,15,3,3,9,5,5,7,3,10,8,6,11,2,13,12,13,6,15.0,12.6,9.9,41.6,12.5,10.7,11.1,44.7,10,6,12,12,1,6,5,8,5,8,10,7,6,0.633,0.367,0.512,0.102,0.31,0.098,0.178,0.148,0.41,0.481,0.519,0.834,0.166,0.582,0.418,14,3,14,8,5,11,5,9,11,7,10,5,12,7,10,37.5,81.4,0.461,9.2,27.5,0.335,16.4,22.4,0.734,8.5,34.5,42.9,21.1,13.5,5.9,5.6,4.1,21.4,20.4,100.7,5,2,10,1,4,4,5,8,3,5,9,6,6,11,1,12,12,13,10,3,5,9,12,12
1610612739,Cleveland Cavaliers,22,12,10,0.545,48.5,36.9,81.9,0.45,10.0,30.3,0.331,17.4,23.1,0.752,9.8,31.6,41.4,19.2,12.7,6.0,4.4,4.4,19.5,21.9,101.1,-1.7,2017-18,Playoffs,106.5,108.3,108.5,111.1,-2.0,-2.8,0.522,1.52,15.3,0.289,0.744,0.513,0.136,0.512,0.55,94.0,92.13,76.77,2055,0.483,1,2,16,5,1,8,11,10,13,12,12,2,8,2,6,11,8,15,10,13.0,11.9,9.5,42.3,14.4,12.4,13.0,46.4,14,9,15,11,6,10,10,13,6,10,6,14,8,0.63,0.37,0.53,0.112,0.298,0.094,0.172,0.128,0.418,0.414,0.586,0.81,0.19,0.522,0.478,15,2,10,7,8,14,7,14,9,14,3,9,8,13,4,38.3,82.0,0.467,10.2,29.5,0.347,16.0,20.6,0.775,8.2,31.9,40.0,22.4,11.8,6.5,4.4,4.4,21.9,19.5,102.9,8,3,12,7,8,7,3,3,10,3,4,3,11,14,3,6,9,14,13,5,8,12,14,9
1610612744,Golden State Warriors,21,16,5,0.762,48.2,41.2,86.0,0.48,11.2,31.4,0.357,16.8,20.4,0.822,9.1,35.9,45.0,26.0,12.9,7.9,5.8,3.6,19.7,19.4,110.4,10.0,2017-18,Playoffs,111.9,112.7,100.5,102.0,11.4,10.7,0.632,2.03,19.2,0.255,0.732,0.508,0.131,0.545,0.581,98.8,97.73,81.44,2058,0.572,2,1,10,1,2,1,1,1,3,1,1,9,11,3,4,2,2,8,1,16.9,11.0,16.8,41.0,14.5,12.9,12.2,46.0,7,12,4,13,7,11,7,12,14,1,2,11,11,0.635,0.365,0.544,0.172,0.304,0.152,0.152,0.153,0.372,0.594,0.406,0.732,0.268,0.632,0.368,13,4,7,2,7,5,12,8,15,1,16,14,3,3,14,37.0,87.4,0.423,10.2,32.5,0.313,16.2,21.0,0.771,10.3,32.7,43.0,20.4,13.6,7.5,3.6,5.8,19.4,19.7,100.4,2,14,1,6,15,1,4,5,9,12,7,7,4,10,9,2,4,3,12,2,1,4,7,4
1610612745,Houston Rockets,17,11,6,0.647,48.0,37.2,85.3,0.436,13.4,39.8,0.337,17.2,22.2,0.772,8.8,34.2,43.0,18.8,12.1,8.1,5.5,4.4,19.1,19.5,104.9,1.8,2017-18,Playoffs,106.7,108.5,106.1,107.0,0.6,1.6,0.506,1.56,14.7,0.251,0.755,0.494,0.125,0.514,0.552,97.8,96.56,80.47,1644,0.497,4,3,12,2,4,7,7,4,14,10,14,11,4,12,3,8,7,9,8,14.4,11.6,9.9,42.8,13.7,9.9,12.4,45.9,12,11,13,10,3,3,8,11,10,11,5,4,4,0.534,0.466,0.453,0.045,0.383,0.094,0.164,0.137,0.408,0.441,0.559,0.623,0.377,0.506,0.494,16,1,16,16,1,15,8,12,12,12,5,16,1,14,3,38.5,82.6,0.465,10.6,27.9,0.382,15.5,20.7,0.75,8.5,35.1,43.6,21.4,14.0,6.8,4.4,5.5,19.5,19.1,103.1,9,4,11,10,5,13,1,4,5,6,10,11,7,5,6,5,5,6,15,6,4,7,5,5
1610612754,Indiana Pacers,7,3,4,0.429,48.0,38.6,80.1,0.481,9.7,27.1,0.358,13.7,19.3,0.711,8.1,31.9,40.0,21.1,13.1,8.1,2.7,3.6,21.9,20.3,100.6,5.7,2017-18,Playoffs,107.4,110.3,103.0,103.4,4.4,6.9,0.548,1.61,17.1,0.274,0.735,0.507,0.144,0.542,0.567,92.8,91.43,76.19,638,0.545,9,9,1,8,10,3,2,2,11,9,8,4,10,4,11,3,4,16,2,19.3,13.3,17.0,47.7,14.3,8.7,9.0,33.7,2,4,3,5,5,1,2,1,13,2,14,1,10,0.661,0.339,0.574,0.099,0.29,0.169,0.136,0.192,0.474,0.475,0.525,0.765,0.235,0.548,0.452,10,7,5,10,10,1,14,2,4,8,9,13,4,11,6,33.1,76.3,0.434,10.4,32.4,0.322,18.1,23.9,0.76,9.1,29.6,38.7,17.1,14.4,6.6,3.6,2.7,20.3,21.9,94.9,1,1,2,8,14,2,11,11,7,10,1,1,1,3,4,1,16,8,5,1,2,11,4,16
1610612748,Miami Heat,5,1,4,0.2,48.0,36.6,82.8,0.442,10.8,27.6,0.391,19.4,28.6,0.678,9.6,31.4,41.0,23.8,16.0,8.8,6.4,4.2,29.2,24.0,103.4,-10.8,2017-18,Playoffs,101.6,101.8,109.6,112.2,-8.0,-10.4,0.65,1.49,17.3,0.235,0.655,0.449,0.157,0.507,0.542,103.0,101.7,84.75,508,0.429,13,13,1,13,13,16,13,16,2,13,7,13,16,16,15,12,11,2,14,19.0,7.6,15.0,37.6,20.6,16.2,10.2,45.6,3,15,6,16,16,16,4,10,1,5,16,2,16,0.667,0.333,0.499,0.135,0.313,0.145,0.188,0.184,0.364,0.535,0.465,0.926,0.074,0.65,0.35,7,9,15,5,3,6,3,3,16,4,13,2,15,2,15,39.2,87.4,0.449,11.4,31.4,0.363,24.4,31.8,0.767,13.2,36.8,50.0,26.6,16.0,9.0,4.2,6.4,24.0,29.2,114.2,11,13,7,13,10,10,16,16,8,16,15,16,15,1,14,4,2,15,1,15,16,14,2,2
1610612749,Milwaukee Bucks,7,3,4,0.429,48.7,39.1,78.3,0.5,9.6,25.7,0.372,14.0,19.9,0.705,5.6,33.0,38.6,22.0,13.1,6.6,6.7,4.1,22.9,19.4,101.9,-0.6,2017-18,Playoffs,107.7,108.7,106.1,108.8,1.6,-0.1,0.562,1.67,17.8,0.19,0.698,0.466,0.14,0.561,0.585,94.2,92.55,77.13,656,0.509,9,9,1,8,9,6,9,6,8,8,4,16,15,14,9,1,1,14,4,13.7,6.9,13.6,46.0,15.7,14.7,9.1,44.0,13,16,7,8,9,14,3,5,11,3,11,10,15,0.672,0.328,0.581,0.129,0.282,0.133,0.137,0.135,0.452,0.444,0.556,0.925,0.075,0.562,0.438,5,12,3,6,11,7,13,13,7,11,6,3,14,8,9,37.0,83.6,0.443,10.1,29.0,0.35,18.3,24.3,0.753,10.7,32.4,43.1,21.6,13.0,6.6,4.1,6.7,19.4,22.9,102.4,2,8,4,5,7,8,12,12,6,14,5,8,8,12,4,3,1,3,2,4,6,8,13,1
1610612750,Minnesota Timberwolves,5,1,4,0.2,48.0,38.0,82.6,0.46,9.0,21.8,0.413,16.6,22.8,0.728,8.6,36.6,45.2,22.4,12.6,5.0,3.2,6.2,18.2,17.6,101.6,-8.8,2017-18,Playoffs,105.1,106.9,113.3,116.0,-8.2,-9.0,0.589,1.78,17.4,0.245,0.745,0.506,0.133,0.515,0.548,97.0,95.1,79.25,475,0.475,13,13,1,13,13,10,15,14,5,4,6,12,7,6,5,7,10,11,11,7.8,8.2,9.8,48.4,13.6,14.6,8.0,44.4,16,14,14,4,2,13,1,7,7,12,7,16,7,0.736,0.264,0.571,0.094,0.266,0.096,0.163,0.077,0.476,0.49,0.51,0.911,0.089,0.589,0.411,2,15,6,12,14,13,9,16,3,6,11,4,13,5,12,39.2,88.0,0.445,15.0,43.4,0.346,17.0,22.8,0.746,9.0,34.2,43.2,20.8,8.4,6.8,6.2,3.2,17.6,18.2,110.4,11,15,5,16,16,6,6,9,4,9,8,9,5,16,7,15,14,1,16,12,13,2,16,14
1610612740,New Orleans Pelicans,9,5,4,0.556,48.0,42.9,89.8,0.478,9.9,27.0,0.366,14.3,18.3,0.782,7.9,37.7,45.6,26.9,14.4,8.1,5.0,4.9,19.3,19.0,110.0,-0.8,2017-18,Playoffs,105.4,105.5,105.7,107.0,-0.3,-1.4,0.627,1.86,19.0,0.215,0.762,0.497,0.139,0.533,0.562,104.6,103.89,86.57,938,0.504,8,5,1,4,8,11,8,8,4,2,2,15,3,9,8,5,5,1,5,17.1,12.3,18.1,54.9,19.9,13.0,18.6,45.3,6,8,1,1,15,12,16,9,15,6,1,12,3,0.699,0.301,0.6,0.101,0.27,0.165,0.13,0.156,0.499,0.579,0.421,0.787,0.213,0.627,0.373,3,14,1,9,13,3,15,7,1,2,15,12,5,4,13,42.3,92.4,0.458,10.4,31.9,0.328,15.7,19.8,0.792,10.1,36.7,46.8,25.6,13.8,9.2,4.9,5.0,19.0,19.3,110.8,15,16,9,9,12,3,2,1,12,11,14,13,13,8,15,8,7,2,14,13,7,1,6,7
1610612760,Oklahoma City Thunder,6,2,4,0.333,48.0,37.2,86.5,0.43,10.5,28.8,0.364,16.3,21.2,0.772,9.3,34.7,44.0,16.3,14.0,8.8,4.2,5.5,21.7,20.7,101.2,-4.3,2017-18,Playoffs,100.7,102.9,106.1,106.9,-5.4,-4.0,0.439,1.17,12.8,0.261,0.713,0.485,0.142,0.49,0.528,100.0,98.5,82.08,590,0.469,11,11,1,11,11,14,6,11,16,16,16,7,13,13,10,15,15,5,12,21.2,13.8,13.3,38.7,15.3,15.2,11.7,44.3,1,3,8,15,8,15,6,6,12,9,13,3,13,0.667,0.333,0.527,0.145,0.311,0.132,0.161,0.209,0.382,0.35,0.65,0.667,0.333,0.439,0.561,7,9,13,3,4,8,10,1,14,15,2,15,2,16,1,38.2,84.2,0.453,11.3,31.5,0.36,17.8,26.0,0.686,11.3,35.5,46.8,20.0,15.2,8.7,5.5,4.2,20.7,21.7,105.5,7,10,8,12,11,9,10,14,1,15,11,14,3,2,13,10,10,10,6,9,11,6,1,10
