TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,SEASON_TYPE,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,DREB_RANK,STL_RANK,BLK_RANK
1610612737,Atlanta Hawks,6,2,4,0.333,48.0,44.0,96.3,0.457,14.0,37.3,0.375,13.8,17.0,0.814,12.2,31.7,43.8,24.5,12.8,7.7,4.8,7.2,16.3,16.5,115.8,-5.3,2022-23,Playoffs,110.9,114.3,119.3,118.8,-8.4,-4.5,0.557,1.91,17.3,0.297,0.764,0.511,0.127,0.529,0.558,103.0,101.67,84.72,608,0.458,10,10,1,10,11,5,14,10,12,7,11,6,3,6,5,6,9,4,13,15.7,17.5,10.3,47.0,13.8,12.0,15.2,54.7,5,2,16,9,2,4,12,16,16,15,2,10,3,0.612,0.388,0.518,0.112,0.363,0.089,0.119,0.135,0.406,0.472,0.528,0.738,0.262,0.557,0.443,5,12,5,2,5,16,16,12,11,12,5,16,1,12,5,46.2,90.2,0.512,15.8,39.0,0.406,13.0,16.5,0.788,8.7,36.3,45.0,27.3,12.8,6.5,7.2,4.8,16.5,16.3,121.2,15,12,14,16,14,13,1,2,6,4,15,10,16,8,5,15,5,2,15,14,11,10,2,5
1610612738,Boston Celtics,20,11,9,0.55,48.3,40.9,85.5,0.478,14.1,38.7,0.364,16.2,20.0,0.81,9.5,33.6,43.1,24.2,12.4,6.0,6.4,4.7,17.2,17.7,112.0,3.4,2022-23,Playoffs,115.1,116.1,110.1,112.9,5.1,3.2,0.591,1.95,18.2,0.266,0.716,0.497,0.129,0.56,0.594,97.5,95.83,79.85,1929,0.526,2,3,15,4,2,4,10,2,10,6,5,13,5,9,7,1,1,9,3,15.7,13.1,14.3,47.4,15.7,13.8,11.1,42.1,6,10,5,7,8,9,4,2,10,7,4,9,5,0.548,0.452,0.479,0.055,0.377,0.127,0.145,0.14,0.423,0.491,0.509,0.783,0.217,0.591,0.409,15,2,14,14,3,5,12,10,9,11,6,12,5,10,7,39.9,87.7,0.455,12.7,33.5,0.378,16.3,19.2,0.849,9.8,31.6,41.3,21.2,12.4,7.4,4.7,6.4,17.7,17.2,108.6,7,8,7,10,7,11,6,4,15,5,5,4,2,12,10,9,2,5,14,7,2,6,15,2
1610612751,Brooklyn Nets,4,0,4,0.0,48.0,34.0,77.3,0.44,11.3,34.5,0.326,13.3,18.3,0.726,5.8,29.3,35.0,22.3,12.3,5.3,3.8,4.0,15.5,18.8,92.5,-11.3,2022-23,Playoffs,100.8,102.5,112.5,114.3,-11.7,-11.8,0.654,1.82,18.5,0.173,0.632,0.405,0.136,0.513,0.542,92.0,90.5,75.42,361,0.446,16,16,1,16,16,15,11,16,2,9,4,16,15,16,10,11,13,16,14,16.8,5.5,11.8,35.5,17.5,20.0,9.8,45.0,3,16,10,16,12,16,2,5,9,9,1,2,15,0.553,0.447,0.492,0.108,0.365,0.127,0.143,0.181,0.384,0.571,0.429,0.822,0.178,0.654,0.346,14,3,12,3,4,6,13,1,16,2,15,5,12,2,15,38.5,85.5,0.45,13.5,33.3,0.406,13.3,15.3,0.869,13.3,35.3,48.5,21.8,13.3,8.5,4.0,3.8,18.8,15.5,103.8,4,5,5,11,6,14,2,1,16,15,14,15,3,6,12,5,13,7,16,3,16,14,16,13
1610612739,Cleveland Cavaliers,5,1,4,0.2,48.0,35.2,78.4,0.449,10.0,30.6,0.327,13.8,18.6,0.742,9.2,28.0,37.2,22.0,15.8,6.8,4.0,4.6,20.4,17.4,94.2,-5.4,2022-23,Playoffs,101.1,101.9,104.6,107.3,-3.6,-5.4,0.625,1.39,17.5,0.276,0.606,0.451,0.171,0.513,0.544,94.2,92.6,77.17,462,0.474,12,12,1,12,14,16,1,12,3,15,9,9,16,15,16,12,12,14,10,15.2,11.0,11.0,43.2,22.2,18.2,15.6,46.4,9,14,12,12,16,15,13,8,8,1,15,1,16,0.61,0.39,0.535,0.076,0.318,0.117,0.146,0.161,0.459,0.556,0.444,0.8,0.2,0.625,0.375,8,9,4,12,11,9,11,3,3,3,14,9,8,3,14,36.0,83.8,0.43,8.4,29.8,0.282,19.2,25.4,0.756,15.0,30.4,45.4,18.2,15.2,10.0,4.6,4.0,17.4,20.4,99.6,2,4,1,1,2,1,13,14,4,16,3,11,1,1,16,7,12,3,7,1,12,16,9,12
1610612743,Denver Nuggets,20,16,4,0.8,48.3,42.3,86.0,0.492,11.3,30.0,0.375,17.7,22.1,0.801,10.1,34.7,44.8,25.8,11.6,6.9,4.2,4.7,19.3,21.0,113.5,8.3,2022-23,Playoffs,116.7,118.2,108.0,110.2,8.7,8.0,0.609,2.22,19.1,0.3,0.762,0.538,0.121,0.557,0.593,96.8,95.18,79.32,1919,0.553,2,1,1,1,2,1,4,1,4,1,2,5,4,1,2,3,2,10,1,14.0,12.3,15.9,51.8,13.3,10.4,13.8,46.3,16,11,3,1,1,3,8,6,7,5,7,16,4,0.651,0.349,0.546,0.09,0.297,0.14,0.156,0.123,0.457,0.534,0.466,0.818,0.182,0.609,0.391,3,14,3,7,13,4,8,16,4,4,13,7,10,4,13,39.0,85.6,0.455,10.3,30.1,0.342,17.0,20.9,0.811,8.3,29.9,38.2,23.4,11.0,5.6,4.7,4.2,21.0,19.3,105.2,6,6,8,3,3,7,7,7,13,3,2,1,8,16,2,9,10,11,10,5,1,2,7,10
1610612744,Golden State Warriors,13,6,7,0.462,48.0,41.9,93.6,0.448,14.5,42.5,0.34,14.8,19.7,0.75,12.5,34.5,47.1,28.2,14.4,7.2,4.6,4.6,22.9,19.6,113.1,-0.2,2022-23,Playoffs,108.6,110.9,109.1,111.1,-0.5,-0.2,0.672,1.96,19.2,0.304,0.708,0.504,0.141,0.525,0.553,104.0,101.92,84.94,1325,0.498,5,6,13,8,5,9,6,6,1,5,1,4,7,7,14,10,11,3,5,14.6,15.3,10.9,44.5,15.3,14.4,13.4,48.0,13,4,13,11,7,11,6,11,14,3,14,13,7,0.546,0.454,0.486,0.093,0.384,0.097,0.131,0.129,0.393,0.619,0.381,0.771,0.229,0.672,0.328,16,1,13,6,2,15,14,13,14,1,16,13,4,1,16,40.9,91.0,0.45,11.2,34.3,0.325,20.2,26.2,0.774,11.3,34.6,45.9,23.2,12.6,7.5,4.6,4.6,19.6,22.9,113.2,8,14,4,7,9,4,14,15,5,11,12,12,6,10,11,8,7,8,2,10,6,3,4,7
1610612746,LA Clippers,5,1,4,0.2,48.0,40.8,88.6,0.46,12.2,33.8,0.361,21.8,26.4,0.826,11.8,28.2,40.0,21.6,14.0,6.6,4.2,6.2,23.0,21.2,115.6,-6.4,2022-23,Playoffs,112.9,116.3,120.9,122.5,-8.1,-6.2,0.529,1.54,15.8,0.323,0.682,0.49,0.141,0.529,0.577,101.6,99.5,82.92,497,0.437,12,12,1,12,14,2,16,13,15,14,13,3,13,10,13,8,5,6,15,14.4,18.4,13.2,50.0,18.2,14.0,17.0,46.8,14,1,7,3,14,10,15,10,2,14,16,15,13,0.619,0.381,0.495,0.062,0.317,0.114,0.189,0.125,0.433,0.42,0.58,0.787,0.213,0.529,0.471,4,13,11,13,12,10,2,15,6,14,3,11,6,15,2,44.6,86.6,0.515,9.6,23.6,0.407,23.2,28.8,0.806,10.6,32.2,42.8,26.6,12.2,8.6,6.2,4.2,21.2,23.0,122.0,14,7,15,2,1,15,16,16,12,9,6,7,13,13,13,14,10,12,1,15,13,15,11,10
1610612747,Los Angeles Lakers,16,8,8,0.5,48.3,41.1,87.1,0.471,10.1,30.3,0.335,20.1,24.8,0.809,9.1,35.6,44.6,24.9,11.9,6.8,6.4,3.8,17.4,21.3,112.3,2.4,2022-23,Playoffs,111.3,112.7,108.0,110.3,3.3,2.4,0.607,2.09,18.2,0.261,0.709,0.498,0.12,0.529,0.573,100.7,99.04,82.54,1595,0.532,4,4,14,7,4,8,5,3,7,2,7,14,6,8,1,6,6,7,2,15.9,13.9,15.9,50.9,13.9,13.7,14.7,46.4,4,8,2,2,3,8,10,7,4,4,3,8,6,0.653,0.347,0.551,0.098,0.27,0.142,0.179,0.141,0.453,0.517,0.483,0.883,0.117,0.607,0.393,2,15,2,5,15,3,3,9,5,5,12,1,16,7,10,41.1,93.6,0.439,13.9,39.9,0.35,13.9,17.3,0.804,12.5,33.8,46.3,26.8,13.1,5.9,3.8,6.4,21.3,17.4,109.9,9,16,3,14,15,8,3,3,10,14,9,13,14,7,4,3,1,13,13,8,3,1,8,1
1610612763,Memphis Grizzlies,6,2,4,0.333,48.8,38.3,95.3,0.402,12.0,38.5,0.312,16.0,19.2,0.835,13.2,33.3,46.5,23.3,13.0,6.7,3.5,9.2,20.5,17.5,104.7,-7.5,2022-23,Playoffs,101.0,102.8,108.2,110.0,-7.1,-7.2,0.609,1.79,16.5,0.281,0.696,0.474,0.128,0.465,0.504,101.9,100.18,83.48,611,0.436,10,10,1,10,10,14,3,14,6,10,12,8,11,13,6,16,16,5,16,15.3,14.0,15.5,49.0,17.2,17.3,19.2,53.0,8,7,4,4,11,14,16,15,15,6,6,3,11,0.596,0.404,0.503,0.035,0.344,0.148,0.153,0.146,0.468,0.506,0.494,0.833,0.167,0.609,0.391,11,6,9,16,8,2,9,7,1,8,9,2,15,6,11,42.0,90.7,0.463,10.8,35.0,0.31,17.3,21.7,0.8,11.3,38.3,49.7,24.7,14.8,7.0,9.2,3.5,17.5,20.5,112.2,11,13,10,4,11,2,10,9,9,12,16,16,10,2,7,16,16,4,6,9,14,7,10,16
1610612748,Miami Heat,23,13,10,0.565,48.2,39.7,86.8,0.458,12.8,33.7,0.38,16.1,19.8,0.813,9.2,31.0,40.3,23.6,11.7,7.0,3.6,4.7,20.1,18.7,108.3,1.5,2022-23,Playoffs,110.5,113.8,110.3,111.9,0.2,1.9,0.593,2.01,17.9,0.272,0.708,0.487,0.123,0.531,0.567,97.0,94.87,79.06,2189,0.498,1,2,16,3,1,7,8,4,9,4,8,11,8,11,3,5,7,11,6,17.8,11.6,10.7,43.0,15.7,12.9,12.1,46.5,2,12,15,14,9,7,5,9,12,10,13,5,8,0.612,0.388,0.498,0.1,0.354,0.099,0.148,0.165,0.397,0.492,0.508,0.806,0.194,0.593,0.407,6,11,10,4,7,14,10,2,13,10,7,8,9,9,8,38.8,83.4,0.465,11.5,35.3,0.326,17.7,23.6,0.753,10.4,33.7,44.1,23.1,13.5,5.8,4.7,3.6,18.7,20.1,106.8,5,3,11,8,12,5,11,11,3,8,8,8,5,5,3,11,15,6,8,6,4,11,5,15
