TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,SEASON_TYPE,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK
1610612745,Houston Rockets,82,41,41,0.5,48.4,-1.3,-1.6,-0.007,1.0,4.0,-0.014,1.8,4.7,-0.061,-0.5,-1.1,-1.6,-2.4,-0.7,1.1,0.3,-0.3,-0.7,0.7,0.2,0.2,2015-16,Regular Season,105.5,107.3,105.6,107.3,-0.2,0.0,0.589,1.39,16.4,0.297,0.692,0.492,0.161,0.516,0.553,100.1,98.42,82.02,8139,0.49,1,17,17,17,11,7,21,15,15,26,19,8,29,23,27,7,6,7,19,18.9,13.9,18.1,45.7,19.5,14.7,14.4,44.6,2,6,3,8,28,29,22,24,1,23,24,2,29,0.63,0.37,0.507,0.078,0.301,0.17,0.191,0.177,0.429,0.508,0.492,0.793,0.207,0.589,0.411,30,1,30,30,4,3,5,6,11,16,15,27,4,15,16
1610612754,Indiana Pacers,82,45,37,0.549,48.5,0.9,0.3,0.01,-0.2,-1.8,0.017,0.0,-0.4,0.013,-0.4,0.1,-0.3,0.4,-1.0,1.3,0.3,-0.3,-0.4,0.4,1.7,1.7,2015-16,Regular Season,102.4,103.8,100.2,102.2,2.2,1.6,0.554,1.43,16.1,0.271,0.714,0.494,0.151,0.497,0.536,99.0,97.35,81.13,8068,0.518,1,11,11,11,5,25,3,12,24,25,22,21,21,19,20,20,19,11,10,18.9,12.9,13.4,40.9,16.3,13.0,12.2,41.6,1,16,12,24,18,17,11,12,18,10,14,7,21,0.73,0.27,0.592,0.192,0.237,0.131,0.171,0.185,0.4,0.487,0.513,0.804,0.196,0.554,0.446,11,20,13,6,18,12,18,2,22,20,11,23,8,24,7
1610612746,LA Clippers,82,53,29,0.646,48.4,1.5,-2.3,0.031,1.9,3.4,0.026,-0.6,1.2,-0.058,-3.0,-1.6,-4.6,1.6,-2.4,1.5,2.5,-2.5,-1.2,1.2,4.3,4.3,2015-16,Regular Season,106.5,107.2,100.9,102.7,5.5,4.5,0.596,1.76,17.4,0.234,0.697,0.472,0.133,0.524,0.556,98.0,96.81,80.68,7995,0.533,1,6,6,6,11,8,5,5,10,3,9,30,27,29,3,5,5,13,4,16.9,10.6,12.9,37.7,14.5,13.8,12.4,41.3,11,29,13,28,4,23,12,11,4,4,25,8,27,0.676,0.324,0.547,0.186,0.279,0.123,0.174,0.162,0.361,0.526,0.474,0.802,0.198,0.596,0.404,22,9,23,7,9,16,12,13,30,12,19,25,6,10,21
1610612747,Los Angeles Lakers,82,17,65,0.207,48.1,-5.4,-0.8,-0.059,-0.7,0.0,-0.03,2.0,1.0,0.049,-0.2,-3.3,-3.5,-6.6,1.1,-0.3,-1.5,1.5,1.1,-1.1,-9.6,-9.6,2015-16,Regular Season,98.6,100.7,109.3,110.3,-10.7,-9.7,0.513,1.31,14.1,0.271,0.712,0.484,0.142,0.46,0.509,98.0,96.55,80.46,7930,0.424,1,29,29,29,28,29,30,29,28,27,30,19,22,27,11,30,30,16,30,13.6,13.0,12.2,38.1,16.5,14.3,17.0,47.8,28,14,18,26,20,28,29,29,9,27,17,28,22,0.71,0.29,0.562,0.17,0.24,0.125,0.198,0.14,0.392,0.45,0.55,0.734,0.266,0.513,0.487,17,14,19,13,17,15,3,27,24,27,4,30,1,28,3
1610612763,Memphis Grizzlies,82,42,40,0.512,48.4,0.9,4.9,-0.016,-3.6,-8.1,-0.033,-0.4,-1.0,0.014,1.0,-2.6,-1.6,-1.2,-2.9,1.8,-1.5,1.5,0.6,-0.6,-2.2,-2.2,2015-16,Regular Season,102.6,104.7,105.4,107.1,-2.9,-2.4,0.562,1.56,16.0,0.298,0.709,0.495,0.14,0.477,0.524,95.7,93.95,78.29,7763,0.483,1,14,14,14,11,19,20,21,20,13,25,6,23,16,9,29,27,27,23,17.9,12.9,12.6,44.0,15.1,11.8,14.6,38.5,6,15,14,11,9,10,25,1,6,24,30,1,23,0.778,0.222,0.619,0.175,0.186,0.127,0.195,0.18,0.444,0.502,0.498,0.861,0.139,0.562,0.438,5,26,7,12,27,13,4,3,6,17,14,12,19,20,11
1610612748,Miami Heat,82,48,34,0.585,48.4,1.2,-2.6,0.029,-1.3,-3.2,-0.011,0.6,1.6,-0.026,0.0,2.8,2.9,0.6,1.2,-0.7,2.4,-2.4,-1.3,1.3,1.6,1.6,2015-16,Regular Season,104.2,105.5,101.5,103.7,2.6,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,95.7,94.14,78.45,7779,0.525,1,7,7,7,11,12,8,11,26,20,20,15,11,8,16,11,13,25,7,14.8,12.7,11.1,46.4,15.6,13.0,10.7,42.0,26,17,22,4,12,16,2,13,11,7,6,25,11,0.779,0.221,0.647,0.182,0.182,0.111,0.171,0.148,0.464,0.47,0.53,0.928,0.072,0.543,0.457,4,27,2,9,28,21,17,24,4,24,7,1,30,26,5
1610612749,Milwaukee Bucks,82,33,49,0.402,48.4,0.6,-0.9,0.012,-4.0,-10.9,-0.008,-1.4,-1.2,-0.021,-1.0,-0.3,-1.3,-1.4,-0.3,-0.1,0.2,-0.2,1.2,-1.2,-4.2,-4.2,2015-16,Regular Season,102.2,103.4,105.7,107.8,-3.5,-4.5,0.603,1.52,17.6,0.286,0.689,0.49,0.159,0.499,0.537,96.6,95.05,79.21,7858,0.483,1,21,21,21,11,26,23,26,8,17,8,13,30,25,24,17,17,23,24,18.5,12.1,13.8,50.6,17.7,14.1,13.0,44.0,5,22,10,1,24,25,16,21,14,19,22,6,30,0.811,0.189,0.666,0.156,0.163,0.139,0.171,0.186,0.51,0.555,0.445,0.898,0.102,0.603,0.397,1,30,1,17,30,9,16,1,1,4,27,3,28,8,23
1610612750,Minnesota Timberwolves,82,29,53,0.354,48.5,-2.2,-3.6,-0.006,-3.5,-9.0,-0.017,4.4,4.5,0.035,-0.7,0.4,-0.3,0.7,0.1,0.2,-0.6,0.6,-0.9,0.9,-3.5,-3.5,2015-16,Regular Season,104.3,105.4,107.1,109.0,-2.8,-3.5,0.619,1.56,17.6,0.279,0.702,0.494,0.155,0.498,0.549,97.6,96.2,80.17,7965,0.497,1,26,26,26,5,13,28,24,4,14,6,18,25,20,23,18,9,19,14,16.4,13.0,13.6,44.1,17.8,13.2,13.4,46.1,15,12,11,10,25,19,20,28,2,29,9,12,25,0.798,0.202,0.629,0.198,0.163,0.133,0.209,0.161,0.431,0.578,0.422,0.857,0.143,0.619,0.381,2,29,5,4,29,11,1,14,10,3,28,15,16,4,27
1610612740,New Orleans Pelicans,82,30,52,0.366,48.2,-0.8,2.0,-0.02,-0.6,-1.1,-0.009,-1.6,-1.8,-0.007,0.6,-2.4,-1.8,-1.0,-0.3,0.4,-1.0,1.0,1.0,-1.0,-3.8,-3.8,2015-16,Regular Season,103.2,104.8,107.3,108.4,-4.1,-3.7,0.577,1.65,16.8,0.252,0.748,0.493,0.137,0.498,0.537,98.9,97.64,81.37,8041,0.472,1,25,25,25,23,18,26,25,19,11,16,24,3,22,4,19,18,8,26,15.0,11.5,12.4,41.4,14.9,11.3,11.7,43.2,25,25,15,20,8,4,8,17,22,26,21,22,3,0.723,0.277,0.582,0.179,0.25,0.121,0.168,0.146,0.403,0.51,0.49,0.809,0.191,0.577,0.423,13,18,15,10,14,17,19,25,20,14,17,22,9,19,12
1610612752,New York Knicks,82,32,50,0.39,48.3,-1.1,-1.8,-0.004,-0.2,-0.9,0.005,-0.3,-1.8,0.051,-0.5,0.7,0.2,-0.3,2.1,-1.5,1.5,-1.5,1.2,-1.2,-2.7,-2.7,2015-16,Regular Season,102.0,103.9,104.8,106.7,-2.8,-2.8,0.557,1.53,16.0,0.28,0.718,0.502,0.142,0.483,0.527,95.8,94.12,78.43,7763,0.487,1,24,24,24,19,24,18,22,23,16,24,16,17,13,10,28,24,26,21,11.8,13.1,8.4,35.8,15.4,12.7,12.8,43.1,30,11,30,30,10,15,15,16,24,9,12,30,17,0.744,0.256,0.598,0.235,0.227,0.086,0.175,0.12,0.364,0.477,0.523,0.87,0.13,0.557,0.443,9,22,10,1,22,30,11,30,28,23,8,8,23,23,8
