"team","season","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance"
"ATL","2021-22",14,96,0.527472527472527,0,0,2,13,5,5,7,0.42603550295858,0.42603550295858,NA,NA,0.162278106508876,0.386127885410165,4,0.0303819444444445,2,0,3,0.078239138792772,0.078239138792772,NA,NA,NA
"BOS","2021-22",13,96,0.615384615384615,2,2,1,13,5,4,7,0.416666666666667,0.236111111111111,0.293768149205456,0.142851307189543,0.118270502645503,0.311257499534047,1,0,1,0,2,0.0684352172241445,0.0684352172241445,NA,NA,NA
"BKN","2021-22",14,97,0.532967032967033,3,3,1,14,5,4,6,0.502958579881657,0.420118343195266,0.33726384442497,0.269321493406162,0.156788297172913,0.397977585209094,2,0.0292804761398661,1,0,3,0.0788536845852617,0.0788536845852617,NA,NA,NA
"CHA","2021-22",12,91,0.689393939393939,0,0,1,12,5,3,8,0.338842975206612,0.239669421487603,NA,0.20186026904549,0.0932703659976387,0.235568164111036,1,0,1,0,3,0.0168679716784673,0.0168679716784673,NA,NA,NA
"CHI","2021-22",11,65,0.590909090909091,0,0,1,11,5,4,6,0.45,0.34,NA,0.286581196581197,0.18987037037037,0.337374701290345,1,0,1,0,4,0,0,NA,NA,NA
"CLE","2021-22",11,68,0.618181818181818,1,1,1,11,5,4,6,0.42,0.42,0.305187842343415,0.3043671679198,0.2595,0.330368821559555,1,0,1,0,2,0.0416666666666667,0.0416666666666667,NA,NA,NA
"DAL","2021-22",14,101,0.554945054945055,2,2,1,14,5,3,6,0.479289940828402,0.479289940828402,0.335357624831309,0.336826408885232,0.211226166995398,0.402807975983458,3,0.045044603470248,4,0.00852857562984022,3,0.0590082644628099,0.0590082644628099,NA,NA,NA
"DEN","2021-22",13,99,0.634615384615385,2,2,1,13,5,4,7,0.395833333333333,0.395833333333333,0.286777107839414,0.285759602884216,0.124258207070707,0.319999240186003,3,0.0151004999489848,4,0.000102030405060627,2,0.0582057671769313,0.0582057671769313,NA,NA,NA
"DET","2021-22",12,78,0.590909090909091,1,1,1,12,5,4,6,0.347107438016529,0.347107438016529,0.230442842643799,0.227103869954982,0.244793388429752,0.344734512254766,1,0,1,0,3,0.044913741820345,0.044913741820345,NA,NA,NA
"GSW","2021-22",12,100,0.757575757575758,2,2,1,12,5,3,8,0.264462809917355,0.264462809917355,0.211388611388611,0.209140859140859,0.105442739079103,0.210905847839696,1,0,1,0,2,0.0325738697045212,0.0325738697045212,NA,NA,NA
