"team","season","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance"
"ATL","2021-22",24,364,0.659420289855072,6,6,1,24,5,0,0,0.266540642722117,0.311909262759924,0.175876754454825,0.216659837021222,0.0439539036892534,0.274767429144848,2,0.0729493720565149,5,0.0274574326772127,2,0.109157986111111,0.109157986111111,NA,NA,NA
"BOS","2021-22",27,338,0.481481481481482,0,0,1,27,5,8,12,0.418639053254438,0.418639053254438,NA,NA,0.134720342083952,0.404958465274833,7,0.0634519099471307,9,0.0308637652743252,3,0.142376073286731,0.142376073286731,NA,NA,NA
"BKN","2021-22",24,379,0.686594202898551,1,1,1,24,5,5,14,0.281663516068053,0.281663516068053,0.206867402448633,0.217870696816951,0.0482508040163995,0.25215854016704,3,0.0252191226738884,4,0.00596626311429183,3,0.0644197045382081,0.0644197045382081,NA,NA,NA
"CHA","2021-22",19,250,0.730994152046784,1,1,1,19,5,0,0,0.231481481481481,0.231481481481481,0.160120831380422,0.158958006139103,0.0831096896728705,0.22914724310933,1,0.00793600000000004,1,0,4,0.041508875739645,0.041508875739645,NA,NA,NA
"CHI","2021-22",22,313,0.677489177489177,0,0,1,22,5,7,14,0.287981859410431,0.287981859410431,NA,0.219610677263654,0.054773028055341,0.249449223763575,4,0.0282283171207219,1,0,2,0.042749310494992,0.042749310494992,NA,NA,NA
"CLE","2021-22",26,411,0.632307692307692,5,5,1,26,5,8,12,0.2992,0.2576,0.195314489102053,0.161832707030508,0.0395806032311915,0.27970849410356,2,0.0859810207138248,10,0.0036940344894949,3,0.0967400648019573,0.0967400648019573,NA,NA,NA
"DAL","2021-22",27,413,0.588319088319088,4,4,1,27,5,5,13,0.387573964497041,0.387573964497041,0.25276283441913,0.254169371776286,0.0591543257038819,0.322073764867432,4,0.0227327357257181,7,0.00192297545274922,3,0.0728089362696171,0.0728089362696171,NA,NA,NA
"DEN","2021-22",22,314,0.67965367965368,2,2,1,22,5,5,13,0.285714285714286,0.285714285714286,0.201584891113227,0.199553197052023,0.0422957621759751,0.257380535088199,3,0.0251987910260051,4,0.0059231611830094,3,0.0534837894110648,0.0534837894110648,NA,NA,NA
"DET","2021-22",27,420,0.598290598290598,1,1,1,27,5,8,14,0.417159763313609,0.337278106508876,0.292662026103995,0.229111019669278,0.0709882276616527,0.329825410034325,3,0.0556349206349207,7,0.0287811791383219,2,0.130702381954381,0.130702381954381,NA,NA,NA
"GSW","2021-22",17,249,0.915441176470588,8,8,1,17,5,3,14,0.08984375,0.08984375,0.0745344065656565,0.0773254751461989,0.00575921474358974,0.0736954177489797,1,0,1,2.22044604925031e-16,1,0,2.22044604925031e-16,NA,NA,NA
"HOU","2021-22",19,290,0.847953216374269,9,9,1,19,5,0,0,0.16358024691358,0.16358024691358,0.138729235069815,0.135875180017692,0.00936117864222439,0.141340085405177,1,0.00343638525564804,2,0.00385255648038052,2,0.0336696545200667,0.0336696545200667,NA,NA,NA
"IND","2021-22",28,419,0.554232804232804,1,1,1,28,5,9,14,0.347050754458162,0.347050754458162,0.21850958764745,0.217445523175786,0.0684996584615052,0.343954789018974,5,0.0716303734884172,8,0.0210980798696748,2,0.102530788715172,0.102530788715172,NA,NA,NA
"LAC","2021-22",23,333,0.658102766798419,1,1,1,23,5,5,12,0.262396694214876,0.309917355371901,0.176776601839281,0.215737783782024,0.057065197929955,0.276268560281658,3,0.0780239699158618,1,0,2,0.0922843176113093,0.0922843176113093,NA,NA,NA
"LAL","2021-22",25,367,0.611666666666667,4,4,1,25,5,5,13,0.361111111111111,0.274305555555556,0.239507360788227,0.166079728158777,0.0427062904134915,0.296842436338167,4,0.0321072990370409,3,0.00983747744804708,3,0.0775588296543107,0.0775588296543107,NA,NA,NA
"MEM","2021-22",23,292,0.577075098814229,1,1,1,23,5,7,14,0.299586776859504,0.299586776859504,0.183511295572269,0.162491699076412,0.0749197242260997,0.2894443803203,2,0.0358181647588666,6,0.0198442484518673,3,0.0883472199967954,0.0883472199967954,NA,NA,NA
"MIA","2021-22",22,327,0.707792207792208,5,5,1,22,5,5,12,0.306122448979592,0.256235827664399,0.227804418663131,0.179680017319424,0.027642284019835,0.239557024148283,2,0.0586323635309411,4,1.87039998502669e-05,2,0.0652638212947726,0.0652638212947726,NA,NA,NA
"MIL","2021-22",29,457,0.562807881773399,0,0,1,29,5,7,14,0.378826530612245,0.341836734693878,NA,0.233078541922904,0.0577335591611157,0.342447301268198,4,0.0180130141872836,2,0.00851332781100234,3,0.0646347227814639,0.0646347227814639,NA,NA,NA
"MIN","2021-22",18,236,0.771241830065359,1,1,1,18,5,4,12,0.242214532871972,0.179930795847751,0.184321575716031,0.132131800088456,0.0675464565711106,0.185195295199567,1,0,1,0,3,0.0321486159634507,0.0321486159634507,NA,NA,NA
"NOP","2021-22",22,338,0.731601731601732,4,4,1,22,5,0,0,0.283446712018141,0.283446712018141,0.21316107198514,0.212049712178128,0.0321356397666922,0.218921010640683,2,0.0292444242148384,1,0,3,0.0541782217915734,0.0541782217915734,NA,NA,NA
"NYK","2021-22",23,280,0.553359683794466,2,2,1,23,5,0,0,0.326446280991736,0.37396694214876,0.1949035920589,0.233192201514508,0.086510854574609,0.337647503296263,4,0.0432844387755102,3,0.0200127551020408,3,0.0878150109569028,0.0878150109569028,NA,NA,NA
"OKC","2021-22",26,401,0.616923076923077,4,4,1,26,5,7,14,0.2736,0.3152,0.170192583847999,0.206609036518936,0.0513385564730943,0.283557421640909,3,0.0827109284146243,7,0.021554592322187,2,0.127074863547539,0.127074863547539,NA,NA,NA
"ORL","2021-22",22,362,0.783549783549783,9,9,1,22,5,3,13,0.226757369614512,0.226757369614512,0.179926391245933,0.177412706594567,0.0188308359566863,0.194252234005343,2,0.0384908885565154,1,0,2,0.0592987628627587,0.0592987628627587,NA,NA,NA
"PHI","2021-22",23,299,0.590909090909091,2,2,1,23,5,7,12,0.380165289256198,0.332644628099174,0.254852680469803,0.206315376644505,0.114537271205737,0.316712581368183,3,0.026727888949788,5,0.00436236731132755,3,0.0759260010548095,0.0759260010548095,NA,NA,NA
