"team","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance","season"
"ATL",10,52,0.577777777777778,1,1,1,10,5,2,4,0.345679012345679,0.345679012345679,0.24031524031524,0.255282843518138,0.0934009406231628,0.382075499159037,2,0.0545488165680474,3,0.0162721893491123,3,0.0481569560047563,0.0545488165680474,2.32447843908386,2.21026303738775,1.75066338198807,"2020-21"
"BOS",14,96,0.527472527472527,0,0,2,13,5,4,6,0.42603550295858,0.343195266272189,NA,NA,0.0662174008327854,0.37766320979505,2,0,3,0,3,0.0208,0.0208,5.31207876893589,5.21604215183494,0.728452856275003,"2020-21"
"BKN",9,42,0.583333333333333,0,0,1,9,5,2,5,0.328125,0.1875,NA,NA,0.110714285714286,0.314305152935977,2,0.0450680272108843,2,0.0453514739229026,2,0.0816115702479339,0.0816115702479339,7.31064548808745,7.18211533764508,7.03284036715694,"2020-21"
"CHA",10,74,0.822222222222222,5,5,1,10,5,3,7,0.197530864197531,0.197530864197531,0.157169990503324,0.169299835966503,0.0270061728395062,0.17170288924975,1,0,1,0,1,0,0,1.52104434922101,1.34935937550641,0.739264553566393,"2020-21"
"CHI",14,90,0.494505494505495,0,0,2,13,5,5,6,0.378698224852071,0.461538461538462,NA,NA,0.155243261012492,0.410559598233757,3,0.0932716049382716,2,0,3,0.0865885416666667,0.0932716049382716,5.07035033050279,5.21676303748766,1.73354111516461,"2020-21"
"CLE",10,58,0.644444444444444,2,2,1,10,5,3,6,0.395061728395062,0.395061728395062,0.293926752260085,0.289602372935706,0.156121399176955,0.31982134042783,1,0,1,0,2,0.0249739854318418,0.0249739854318418,2.51205137923791,2.39843136283852,1.20856778332602,"2020-21"
"DAL",13,84,0.538461538461538,0,0,2,12,5,6,7,0.409722222222222,0.409722222222222,NA,NA,0.123520923520924,0.372856689710349,2,0,2,0,3,0.0537190082644628,0.0537190082644628,6.18154209336939,5.96012063111813,2.62491983186526,"2020-21"
"DEN",12,75,0.568181818181818,0,0,2,11,5,4,7,0.371900826446281,0.272727272727273,NA,NA,0.127863046044864,0.317043964156429,4,0.0132444444444444,3,0,3,0.0381328073635766,0.0381328073635766,9.95812999373116,10.130378927544,7.70144681181373,"2020-21"
"DET",13,81,0.519230769230769,1,1,1,13,5,4,6,0.25,0.25,0.151482423999194,0.155018909610628,0.1217644063288,0.367769022338024,3,0.0486968449931413,3,0.0487730528882794,2,0.0898760330578512,0.0898760330578512,1.82535173226636,2.21590103523904,1.18764922363973,"2020-21"
"GSW",9,58,0.805555555555556,3,3,1,9,5,2,6,0.21875,0.21875,0.188352272727273,0.185336538461539,0.0432716836734694,0.193755854336358,1,0,1,0,1,0,0,1.10628717069104,1.32042957934935,0.966218819122,"2020-21"
"HOU",9,25,0.347222222222222,0,0,1,9,5,3,3,0.3125,0.453125,NA,0.475864955357143,0.204241071428571,0.581504666600226,2,0.06,3,0.0559999999999999,3,0.18,0.18,1.48718614760785,1.81520042975899,1.12671562441006,"2020-21"
"IND",8,38,0.678571428571429,1,1,1,8,5,2,4,0.36734693877551,0.36734693877551,0.283516483516483,0.283516483516483,0.306122448979592,0.281893590625125,1,0,1,0,2,0.0166204986149584,0.0166204986149584,2.50749405664813,2.50749405664813,1.65232510591663,"2020-21"
"LAC",12,96,0.727272727272727,1,1,1,12,5,4,8,0.198347107438017,0.198347107438017,0.160074631251102,0.163321384497855,0.163223140495868,0.218910701742062,3,0.00846354166666662,1,0,2,0.0238,0.0238,7.68305786646828,7.82816212328733,7.54085250152264,"2020-21"
"LAL",9,64,0.888888888888889,5,5,1,9,5,2,6,0.125,0.125,0.113352272727273,0.113352272727273,0.0149553571428571,0.110979364870963,1,0,1,0,1,0,0,1.74905530548622,1.74905530548622,1.77900972239984,"2020-21"
"MEM",10,70,0.777777777777778,2,2,1,10,5,2,6,0.246913580246914,0.246913580246914,0.201599326599327,0.207070707070707,0.0712815990593768,0.164083718055056,1,0,1,0,2,0.00887345679012344,0.00887345679012344,3.58561248030039,3.41277428469385,3.07197650351319,"2020-21"
"MIA",8,48,0.857142857142857,5,5,1,8,5,1,5,0.163265306122449,0.163265306122449,0.154195011337869,0.154195011337869,0.0163265306122449,0.154743487930551,1,0,1,0,2,0,0,-0.587628980861865,-0.587628980861865,-0.552216975144828,"2020-21"
"MIL",10,38,0.422222222222222,0,0,2,9,5,4,5,0.395061728395062,0.271604938271605,NA,NA,0.188271604938272,0.440002267850331,4,0.0155817174515235,2,0,3,0.075,0.075,5.50224836509272,5.3499581725934,2.45521845454499,"2020-21"
"MIN",11,65,0.590909090909091,2,2,1,11,5,4,6,0.34,0.34,0.222757936507936,0.21748428858723,0.138018518518518,0.282823340673976,1,0,1,0,2,0.0424489795918367,0.0424489795918367,-0.972781947378478,-1.28759469699015,-2.80066306926554,"2020-21"
"NOP",12,67,0.507575757575758,0,0,1,12,5,3,5,0.43801652892562,0.338842975206612,NA,0.239601591084333,0.108760330578512,0.393986373216167,3,0.0605925595901092,2,0,2,0.0920379839298758,0.0920379839298758,2.09655496152767,1.90403602766523,-0.488112734725806,"2020-21"
"NYK",10,52,0.577777777777778,1,1,1,10,5,2,5,0.345679012345679,0.345679012345679,0.235954949190243,0.233569988471949,0.241598079561043,0.316149259395244,2,0.0680473372781065,1,0,2,0.0612244897959184,0.0680473372781065,2.78570702144406,2.91822908148156,1.75732467681545,"2020-21"
"OKC",9,42,0.583333333333333,1,1,1,9,5,3,5,0.46875,0.328125,0.341619318181818,0.213786213786214,0.2421875,0.351242098177711,2,0.0192743764172336,3,0.00850340136054439,2,0.0756143667296786,0.0756143667296786,3.15123585116359,3.11883280712543,2.42182761372483,"2020-21"
"ORL",13,67,0.42948717948718,1,1,1,13,5,3,4,0.527777777777778,0.527777777777778,0.318813796783998,0.324881983628114,0.349705387205387,0.472461008104247,2,0.049788371574961,1,0,2,0.0894148586456278,0.0894148586456278,0.464169618266331,-0.123924597047852,-3.29988701714062,"2020-21"
"PHI",11,65,0.590909090909091,0,0,2,10,5,3,6,0.34,0.34,NA,NA,0.0613571428571429,0.357269448081459,2,0,2,0,3,0.0228571428571429,0.0228571428571429,4.48071052601016,4.60667277387644,3.38919161284791,"2020-21"
"PHX",9,39,0.541666666666667,1,1,1,9,5,3,4,0.515625,0.515625,0.36840034965035,0.375543206793207,0.3515625,0.440738226130933,2,0.0552268244575937,3,0.0157790927021696,2,0.1,0.1,1.10778227303165,1.10778227303165,-0.050833734204573,"2020-21"
"POR",8,32,0.571428571428571,1,1,1,8,5,3,4,0.489795918367347,0.489795918367347,0.359129759129759,0.351914751914752,0.380952380952381,0.39876375068659,1,0,1,0,2,0.0354938271604938,0.0354938271604938,0.903851212835756,0.7363438590591,-0.338264151115976,"2020-21"
"SAC",8,42,0.75,1,1,1,8,5,2,5,0.122448979591837,0.285714285714286,0.0992784992784992,0.2281179138322,0.130385487528345,0.210446863706195,2,0.0314625850340136,1,0,2,0.0217391304347826,0.0314625850340136,3.32907674410002,3.53298733952096,3.58261376015181,"2020-21"
"SAS",9,60,0.833333333333333,3,3,1,9,5,1,6,0.1875,0.1875,0.151813811188811,0.166477272727273,0.0344866071428571,0.166107310092737,1,0,1,0,1,0,0,1.73536520542966,1.88592462344489,1.89259083686593,"2020-21"
"TOR",15,93,0.442857142857143,0,0,2,14,5,5,7,0.36734693877551,0.36734693877551,NA,NA,0.116709183673469,0.439044892699681,3,0.0186726789224188,3,0.0187304890738813,3,0.0897731641676278,0.0897731641676278,4.77824831362631,5.12382995913594,0.885336099776773,"2020-21"
"UTA",10,46,0.511111111111111,0,0,3,8,5,3,5,0.296296296296296,0.296296296296296,NA,NA,0.0313786008230453,0.383382563283522,3,0,3,0,4,0,0,6.5710388989636,6.66959594411695,4.66470251902124,"2020-21"
"WAS",10,45,0.5,2,2,1,10,5,3,4,0.555555555555556,0.555555555555556,0.373745082078415,0.374559082892416,0.253343621399177,0.449957106905464,2,0.0533333333333333,1,0,2,0.0935727788279773,0.0935727788279773,-1.14882926844372,-1.14882926844372,-3.9503842150189,"2020-21"
"ATL",13,78,0.5,0,0,2,12,5,5,6,0.451388888888889,0.451388888888889,NA,NA,0.175326178451178,0.420716925080543,3,0.0138067061143984,2,0,3,0.0722789115646258,0.0722789115646258,5.41124833689432,5.17216501184739,1.97988658534246,"2021-22"
"BOS",11,73,0.663636363636364,2,2,1,11,5,4,6,0.37,0.26,0.276765424118365,0.178265729368671,0.0786666666666667,0.293764137211335,2,0.0209232501407393,1,0,2,0.0495152354570637,0.0495152354570637,2.5966075768261,2.72419218847553,1.95884229880877,"2021-22"
"BKN",12,83,0.628787878787879,3,3,1,12,5,3,6,0.40495867768595,0.305785123966942,0.286674602252987,0.207938140291081,0.0890909090909091,0.312110580453989,1,0,1,0,2,0.0642722117202268,0.0642722117202268,1.80427866597476,1.67321277737976,0.145611021579087,"2021-22"
