"team_abbr","game_id","game_date","opponent","nodes","edges","density","vertex_connectivity","edge_connectivity","components","max_component_size","biconnected_components","cohesive_blocks","max_cohesion_value","in_degree_centralization","out_degree_centralization","in_closeness_centralization","out_closeness_centralization","betweenness_centralization","eigenvector_centralization","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","season","season_type"
"ATL",21700009,"2017-10-18","DAL",12,71,0.537878787878788,2,2,1,12,5,2,5,0.40495867768595,0.40495867768595,0.262634115110895,0.261573565753132,0.156056670602125,0.411055658799496,2,0.28226820747111,1,0,2,0.28226820747111,0.28226820747111,"2017-18","Regular Season"
"ATL",21700017,"2017-10-20","CHA",13,88,0.564102564102564,1,1,1,13,5,2,6,0.291666666666667,0.291666666666667,0.204164802174713,0.209334969367864,0.192310756373256,0.367690790106606,6,0.08178140060689,3,0.00842336101454328,3,0.122130234851125,0.122130234851125,"2017-18","Regular Season"
"ATL",21700038,"2017-10-22","BKN",13,79,0.506410256410256,1,1,1,13,5,4,6,0.354166666666667,0.354166666666667,0.238142500487702,0.219827296557773,0.133488155363155,0.428782811296436,2,0.0234784333883433,3,0.0207414621829036,3,0.139680220761302,0.139680220761302,"2017-18","Regular Season"
"ATL",21700042,"2017-10-23","MIA",10,64,0.711111111111111,3,3,1,10,5,2,6,0.320987654320988,0.197530864197531,0.254985754985755,0.137140637140637,0.0509259259259259,0.257863847101725,2,0.0959646618571814,1,2.22044604925031e-16,2,0.104104779908183,0.104104779908183,"2017-18","Regular Season"
"ATL",21700065,"2017-10-26","CHI",10,63,0.7,3,3,1,10,5,3,6,0.333333333333333,0.333333333333333,0.265752765752766,0.266770266770267,0.0756172839506173,0.270132983045577,2,0.0123456790123457,1,0,2,0.0965363511659808,0.0965363511659808,"2017-18","Regular Season"
"ATL",21700072,"2017-10-27","DEN",10,69,0.766666666666667,3,3,1,10,5,3,7,0.259259259259259,0.259259259259259,0.212509712509712,0.22029822029822,0.0784832451499118,0.229410027053329,1,0,1,0,2,0.0727887613591598,0.0727887613591598,"2017-18","Regular Season"
"ATL",21700085,"2017-10-29","MIL",11,71,0.645454545454545,1,1,1,11,5,2,6,0.28,0.39,0.198648303450935,0.297289377289377,0.130880952380952,0.31417834453495,1,0,1,0,2,0.11399586906816,0.11399586906816,"2017-18","Regular Season"
"ATL",21700107,"2017-11-01","PHI",12,73,0.553030303030303,0,0,1,12,5,4,6,0.388429752066116,0.289256198347107,NA,0.207904743477866,0.130011806375443,0.348144118320557,3,0.124121661186433,2,0,2,0.152014548894194,0.152014548894194,"2017-18","Regular Season"
"ATL",21700123,"2017-11-03","HOU",11,77,0.7,2,2,1,11,5,2,6,0.33,0.33,0.260587157940099,0.25995115995116,0.110029100529101,0.283768514893427,1,0,1,0,2,0.104160729552579,0.104160729552579,"2017-18","Regular Season"
"ATL",21700136,"2017-11-05","CLE",9,56,0.777777777777778,2,2,1,9,5,2,6,0.25,0.25,0.199472402597402,0.211079545454545,0.08515625,0.212071811538824,1,0,1,0,2,0.0355750077153999,0.0355750077153999,"2017-18","Regular Season"
