"team_abbr","game_id","game_date","opponent","nodes","edges","density","vertex_connectivity","edge_connectivity","components","max_component_size","biconnected_components","cohesive_blocks","max_cohesion_value","in_degree_centralization","out_degree_centralization","in_closeness_centralization","out_closeness_centralization","betweenness_centralization","eigenvector_centralization","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","season","season_type"
"ATL",21900014,"2019-10-24","DET",11,72,0.654545454545455,2,2,1,11,5,2,6,0.38,0.27,0.297556022408964,0.1896336996337,0.071462962962963,0.269640163994952,1,0,4,0.00569274326636282,2,0.0982906629926267,0.0982906629926267,"2019-20","Regular Season"
"ATL",21900028,"2019-10-26","ORL",12,77,0.583333333333333,2,2,1,12,5,3,6,0.454545454545455,0.256198347107438,0.334199134199134,0.157766588416743,0.129586776859504,0.339666285021585,1,0,1,0,2,0.139997686825023,0.139997686825023,"2019-20","Regular Season"
"ATL",21900043,"2019-10-28","PHI",12,76,0.575757575757576,3,3,1,12,5,3,6,0.264462809917355,0.264462809917355,0.155245425369264,0.156715678542304,0.103057851239669,0.281199215449406,2,0.0671351821459131,1,0,2,0.168553353252255,0.168553353252255,"2019-20","Regular Season"
"ATL",21900052,"2019-10-29","MIA",12,85,0.643939393939394,1,1,1,12,5,2,7,0.388429752066116,0.190082644628099,0.292191142191142,0.13262310444973,0.0781267217630854,0.278811911313252,1,0,1,0,2,0.135165533766932,0.135165533766932,"2019-20","Regular Season"
"ATL",21900066,"2019-10-31","MIA",11,70,0.636363636363636,1,1,1,11,5,2,6,0.4,0.4,0.298461651867225,0.308206205559147,0.181259259259259,0.350077556645739,2,0.192751891676623,4,0.147236032425072,2,0.192751891676623,0.192751891676623,"2019-20","Regular Season"
"ATL",21900099,"2019-11-05","SAS",11,68,0.618181818181818,2,2,1,11,5,3,6,0.2,0.31,0.125260989010989,0.218348595848596,0.0712671957671958,0.301242381995443,3,0.1702,5,0.02024,2,0.2,0.2,"2019-20","Regular Season"
"ATL",21900105,"2019-11-06","CHI",12,85,0.643939393939394,2,2,1,12,5,3,7,0.289256198347107,0.289256198347107,0.193697324347479,0.198892129542284,0.0789492325855962,0.285026779609895,2,0.164231493350425,4,0.113763819900657,2,0.185301834641884,0.185301834641884,"2019-20","Regular Season"
"ATL",21900119,"2019-11-08","SAC",11,71,0.645454545454545,4,4,1,11,5,2,6,0.39,0.28,0.302844483947425,0.20135638870933,0.0637222222222222,0.314381294265469,2,0.064178835406526,2,0.0218135929331171,3,0.0261627906976744,0.064178835406526,"2019-20","Regular Season"
"ATL",21900138,"2019-11-10","POR",10,58,0.644444444444444,3,3,1,10,5,3,6,0.395061728395062,0.271604938271605,0.301642801642802,0.183409183409183,0.10082304526749,0.306988415625784,1,0,1,0,2,0.009979248046875,0.009979248046875,"2019-20","Regular Season"
"ATL",21900150,"2019-11-12","DEN",10,66,0.733333333333333,4,4,1,10,5,1,6,0.296296296296296,0.296296296296296,0.242960742960743,0.241345074678408,0.0661008230452675,0.271019341854974,1,0,1,0,2,0.068870523415978,0.068870523415978,"2019-20","Regular Season"
