"team_abbr","game_id","game_date","opponent","nodes","edges","density","vertex_connectivity","edge_connectivity","components","max_component_size","biconnected_components","cohesive_blocks","max_cohesion_value","in_degree_centralization","out_degree_centralization","in_closeness_centralization","out_closeness_centralization","betweenness_centralization","eigenvector_centralization","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","season","season_type"
"ATL",22000015,"2020-12-23","CHI",12,73,0.553030303030303,1,1,1,12,5,2,6,0.289256198347107,0.289256198347107,0.214167508071251,0.20304305108451,0.257308146399056,0.380397525648164,3,0.162621223476247,4,0.0492164517175422,2,0.186217156407646,0.186217156407646,"2020-21","Regular Season"
"ATL",22000021,"2020-12-26","MEM",10,71,0.788888888888889,4,4,1,10,5,2,7,0.111111111111111,0.234567901234568,0.0892255892255892,0.2000962000962,0.0239381246325691,0.132129114927114,1,0,4,0.0175155842080026,2,0.0681908998881133,0.0681908998881133,"2020-21","Regular Season"
"ATL",22000041,"2020-12-28","DET",10,68,0.755555555555556,4,4,1,10,5,2,6,0.271604938271605,0.271604938271605,0.219496552829886,0.228049728049728,0.0555555555555556,0.242168489151269,1,0,1,0,2,0.107116171274427,0.107116171274427,"2020-21","Regular Season"
"ATL",22000057,"2020-12-30","BKN",11,73,0.663636363636364,2,2,1,11,5,3,6,0.26,0.26,0.171642246642247,0.180467032967033,0.104653439153439,0.214856349779704,1,0,1,0,2,0.182602658202738,0.182602658202738,"2020-21","Regular Season"
"ATL",22000072,"2021-01-01","BKN",12,70,0.53030303030303,1,1,1,12,5,3,6,0.31404958677686,0.31404958677686,0.245078091740456,0.239056377059473,0.13556080283353,0.323453693283142,4,0.102124016714359,1,0,2,0.171304222890052,0.171304222890052,"2020-21","Regular Season"
"ATL",22000083,"2021-01-02","CLE",10,61,0.677777777777778,3,3,1,10,5,1,5,0.234567901234568,0.234567901234568,0.16509879009879,0.170389795389795,0.0576131687242798,0.227394976840718,2,0.0899437500876713,6,0.012821052336265,2,0.134214254653593,0.134214254653593,"2020-21","Regular Season"
"ATL",22000095,"2021-01-04","NYK",9,53,0.736111111111111,2,3,1,9,5,2,6,0.296875,0.296875,0.239423076923077,0.246306818181818,0.123660714285714,0.260499976891302,3,0.0440898135918628,4,0.0021922359444998,2,0.106343867866723,0.106343867866723,"2020-21","Regular Season"
"ATL",22000110,"2021-01-06","CHA",10,67,0.744444444444444,1,1,1,10,5,2,6,0.160493827160494,0.283950617283951,0.108305274971942,0.231325319560614,0.22200176366843,0.197224124727328,1,0,1,0,2,0.00925425154738294,0.00925425154738294,"2020-21","Regular Season"
"ATL",22000134,"2021-01-09","CHA",10,58,0.644444444444444,1,1,1,10,5,2,6,0.271604938271605,0.395061728395062,0.203519791755086,0.308228808228808,0.140321869488536,0.319949435299142,1,0,1,0,2,0.102254361799816,0.102254361799816,"2020-21","Regular Season"
"ATL",22000153,"2021-01-11","PHI",12,75,0.568181818181818,1,2,1,12,5,3,7,0.371900826446281,0.371900826446281,0.257438639791581,0.253361344537815,0.273749060856499,0.327757053591845,2,0.239476930401662,8,0.0124653739612188,2,0.239476930401662,0.239476930401662,"2020-21","Regular Season"
"ATL",22000186,"2021-01-15","UTA",12,78,0.590909090909091,1,1,1,12,5,2,6,0.247933884297521,0.148760330578512,0.164100605277076,0.102655033305188,0.143475367607599,0.297864483025283,2,0.177170124979971,1,0,3,0.18985839609037,0.18985839609037,"2020-21","Regular Season"
"ATL",22000195,"2021-01-16","POR",9,51,0.708333333333333,2,2,1,9,5,2,6,0.1875,0.1875,0.12987012987013,0.140909090909091,0.0659598214285714,0.202759230491656,1,0,4,0.0230682794632822,2,0.0648340934628858,0.0648340934628858,"2020-21","Regular Season"
"ATL",22000205,"2021-01-18","MIN",9,62,0.861111111111111,4,4,1,9,5,1,7,0.15625,0.15625,0.128977272727273,0.146875,0.0215401785714286,0.146789116078138,1,0,4,0.0178100984593718,2,0.0851048331289684,0.0851048331289684,"2020-21","Regular Season"
"ATL",22000219,"2021-01-20","DET",10,56,0.622222222222222,1,1,1,10,5,2,6,0.419753086419753,0.419753086419753,0.31630098296765,0.322770911006205,0.16358024691358,0.338472297674128,2,0.124504865763607,1,0,2,0.124504865763607,0.124504865763607,"2020-21","Regular Season"
"ATL",22000236,"2021-01-22","MIN",13,71,0.455128205128205,1,1,1,13,5,5,6,0.409722222222222,0.409722222222222,0.291587171716491,0.251669349248726,0.306997053872054,0.448651712645388,6,0.148039158557194,4,0.00215605151214993,2,0.190752287162753,0.190752287162753,"2020-21","Regular Season"
"ATL",22000254,"2021-01-24","MIL",10,64,0.711111111111111,2,2,1,10,5,3,6,0.197530864197531,0.0740740740740741,0.133441721677016,0.0485810485810485,0.0624081422692534,0.193305104075111,1,0,1,0,2,0.112786885245902,0.112786885245902,"2020-21","Regular Season"
"ATL",22000268,"2021-01-26","LAC",10,63,0.7,1,1,1,10,5,2,6,0.209876543209877,0.209876543209877,0.142363809030476,0.163267288267288,0.124632569077013,0.194603462172489,1,0,6,0.0191713769593848,2,0.0806406969290834,0.0806406969290834,"2020-21","Regular Season"
