"team","season","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance"
"ATL","2023-24",19,292,0.853801169590643,10,10,1,19,5,3,13,0.154320987654321,0.154320987654321,0.128857932191266,0.131302863802864,0.00884798475348584,0.136172335043258,2,0.0186186432726591,1,0,2,0.0195169831994156,0.0195169831994156,NA,NA,NA
"BOS","2023-24",19,276,0.807017543859649,7,7,1,19,5,3,12,0.203703703703704,0.203703703703704,0.168991240911531,0.164801260107357,0.0166798993187882,0.179231547791068,2,0.0250406952320941,3,0.0174858223062382,2,0.0445743068120691,0.0445743068120691,NA,NA,NA
"BKN","2023-24",21,310,0.738095238095238,6,6,1,21,5,0,0,0.2775,0.2775,0.212183957519793,0.210698381714524,0.0304830158876211,0.2313391768087,3,0.015,4,0.00281997918834542,3,0.05279296875,0.05279296875,NA,NA,NA
"CHA","2023-24",26,405,0.623076923076923,7,7,1,26,5,7,12,0.3504,0.3504,0.237364856689975,0.235962703881899,0.0447988263588263,0.322695373303613,2,0.088641975308642,10,0.0158390489254687,2,0.12855829955698,0.12855829955698,NA,NA,NA
"CHI","2023-24",18,231,0.754901960784314,4,4,1,18,5,4,11,0.259515570934256,0.259515570934256,0.200645951405534,0.199170444814938,0.0423775726868287,0.211655049205626,3,0.0109911733288357,5,0.0013867806075597,2,0.0674475787173007,0.0674475787173007,NA,NA,NA
"CLE","2023-24",18,255,0.833333333333333,6,6,1,18,5,4,13,0.176470588235294,0.176470588235294,0.144183232538723,0.145525378524832,0.016508675148381,0.148218908327998,1,0,1,0,2,0.0106508875739645,0.0106508875739645,NA,NA,NA
"DAL","2023-24",22,333,0.720779220779221,6,6,1,22,5,0,0,0.294784580498866,0.294784580498866,0.221292144133759,0.219794204144299,0.0375644763399865,0.240318565340998,4,0.0165751336922508,4,0.00844087330573806,2,0.0713894873636333,0.0713894873636333,NA,NA,NA
"DEN","2023-24",17,226,0.830882352941177,9,9,1,17,5,2,11,0.1796875,0.1796875,0.148351592192768,0.150900518960444,0.0141179465788841,0.158156449264338,2,0.0201660270968753,3,0.010220064218028,2,0.0507463835026162,0.0507463835026162,NA,NA,NA
"DET","2023-24",31,500,0.537634408602151,0,0,1,31,5,4,12,0.477777777777778,0.443333333333333,NA,0.31077030068934,0.0913870704230524,0.408108992230972,3,0.147498,9,0.024472,2,0.162211395278232,0.162211395278232,NA,NA,NA
"GSW","2023-24",18,256,0.836601307189542,6,6,1,18,5,4,13,0.173010380622837,0.173010380622837,0.142149291247816,0.141618552636582,0.0210212257465718,0.14012627142044,2,0.0096435546875,4,0.007598876953125,2,0.0414201183431953,0.0414201183431953,NA,NA,NA
"HOU","2023-24",17,236,0.867647058823529,7,7,1,17,5,3,12,0.140625,0.140625,0.121549646204609,0.117624684343434,0.010831411788443,0.121527738844649,2,0.00531456478023555,5,0.000718184429761792,2,0.0267399767775425,0.0267399767775425,NA,NA,NA
"IND","2023-24",22,304,0.658008658008658,2,2,1,22,5,6,12,0.308390022675737,0.308390022675737,0.214014403989808,0.21071038315077,0.0560467662848615,0.275335030463277,2,0.029772983033241,7,0.0141101108033241,2,0.0708019548149335,0.0708019548149335,NA,NA,NA
"LAC","2023-24",21,281,0.669047619047619,3,3,1,21,5,5,11,0.295,0.295,0.203419086163845,0.205600051995301,0.0571503496503496,0.263835169334378,2,0.0255822494649257,3,0.0229733665987006,2,0.0640190972222222,0.0640190972222222,NA,NA,NA
"LAL","2023-24",21,290,0.69047619047619,5,5,1,21,5,0,0,0.3325,0.2275,0.247205545173217,0.149964794836634,0.0365605677217519,0.305306600040232,3,0.0637455410225922,6,0.0208085612366231,3,0.0822954278064019,0.0822954278064019,NA,NA,NA
"MEM","2023-24",33,594,0.5625,4,4,1,33,5,7,14,0.3544921875,0.3544921875,0.220388056371905,0.220628735940483,0.0645107007036227,0.327612081390651,2,0.156662018614881,4,0.0281660601525922,2,0.159533648170012,0.159533648170012,NA,NA,NA
"MIA","2023-24",21,356,0.847619047619048,9,9,1,21,5,2,14,0.16,0.16,0.135427316644708,0.133769559605113,0.00797201601932639,0.142511472579853,2,0.0103364474182553,4,0.0023986870344654,2,0.0317443545465523,0.0317443545465523,NA,NA,NA
"MIL","2023-24",21,293,0.697619047619048,1,1,1,21,5,5,13,0.2125,0.265,0.143610911530349,0.18961428685999,0.0953935905103668,0.230946181635299,3,0.000844506051322674,5,0.00938857761884245,3,0.0606817890554915,0.0606817890554915,NA,NA,NA
"MIN","2023-24",18,248,0.810457516339869,9,9,1,18,5,2,11,0.200692041522491,0.200692041522491,0.170676027431984,0.171233040751145,0.0129988847657533,0.187420612912775,2,0.0509560353798127,3,0.00289412070759626,2,0.063366087175611,0.063366087175611,NA,NA,NA
"NOP","2023-24",20,256,0.673684210526316,1,1,1,20,5,4,12,0.28808864265928,0.28808864265928,0.195896023805753,0.1905781694051,0.0781417976708835,0.238805781098559,4,0.0377883911132812,8,0.0014801025390625,2,0.069636678200692,0.069636678200692,NA,NA,NA
"NYK","2023-24",26,338,0.52,1,1,1,26,5,0,0,0.4592,0.4592,0.298362364644538,0.295961899709587,0.127610384264285,0.411572176503352,2,0.120557753580057,7,0.0271349042400477,3,0.124861111111111,0.124861111111111,NA,NA,NA
"OKC","2023-24",22,364,0.787878787878788,5,5,1,22,5,5,14,0.222222222222222,0.222222222222222,0.174466325796375,0.178076344698748,0.0244111022512383,0.187577232163915,2,0.0184609346697259,4,0.00655868856418285,3,0.0394594594594594,0.0394594594594594,NA,NA,NA
"ORL","2023-24",18,242,0.790849673202614,2,2,1,18,5,3,12,0.15916955017301,0.15916955017301,0.11512084710045,0.117185330149726,0.0355703939113154,0.164619052816595,3,0.0185096646403935,3,0.00963048972064736,2,0.042112,0.042112,NA,NA,NA
"PHI","2023-24",27,396,0.564102564102564,0,0,1,27,5,7,13,0.332840236686391,0.332840236686391,NA,0.219490994069217,0.0654825186995392,0.327763158791585,3,0.100146031017243,7,0.0500140291806959,2,0.106136299368461,0.106136299368461,NA,NA,NA
