id,full_name,id_in_br,full_name_in_br,team,br_team,season,salary
1629027,Trae Young,youngtr01,Trae Young,ATL,ATL,2023-24,40064220.0
203991,Clint Capela,capelca01,Clint Capela,ATL,ATL,2023-24,20616000.0
1629631,De'Andre Hunter,huntede01,De'Andre Hunter,ATL,ATL,2023-24,20089286.0
203992,Bogdan Bogdanović,bogdabo01,Bogdan BogdanoviÄ,ATL,ATL,2023-24,18700000.0
1627749,Dejounte Murray,murrade01,Dejounte Murray,ATL,ATL,2023-24,18214000.0
1630168,Onyeka Okongwu,okongon01,Onyeka Okongwu,ATL,ATL,2023-24,8109063.0
201988,Patty Mills,millspa02,Patty Mills,MIA,ATL,2023-24,6802950.0
1630180,Saddiq Bey,beysa01,Saddiq Bey,ATL,ATL,2023-24,4556983.0
1641723,Kobe Bufkin,bufkiko01,Kobe Bufkin,ATL,ATL,2023-24,4094280.0
1631100,AJ Griffin,griffaj01,AJ Griffin,ATL,ATL,2023-24,3712920.0
1630552,Jalen Johnson,johnsja05,Jalen Johnson,ATL,ATL,2023-24,2925360.0
1628981,Bruno Fernando,fernabr01,Bruno Fernando,ATL,ATL,2023-24,2581522.0
202083,Wesley Matthews,matthwe02,Wesley Matthews,ATL,ATL,2023-24,2019706.0
1629726,Garrison Mathews,mathega01,Garrison Mathews,ATL,ATL,2023-24,2000000.0
1631243,Mouhamed Gueye,gueyemo02,Mouhamed Gueye,ATL,ATL,2023-24,1119563.0
,未知,joineja01,Jarkel Joiner,ATL,ATL,2023-24,1119563.0
1630235,Trent Forrest,forretr01,Trent Forrest,ATL,ATL,2023-24,533945.0
1641936,Miles Norris,norrimi01,Miles Norris,ATL,ATL,2023-24,
1641754,Seth Lundy,lundyse01,Seth Lundy,ATL,ATL,2023-24,
1630249,Vít Krejčí,krejcvi01,Vit Krejci,ATL,ATL,2023-24,
1629685,Dylan Windler,windldy01,Dylan Windler,ATL,ATL,2023-24,
201950,Jrue Holiday,holidjr01,Jrue Holiday,BOS,BOS,2023-24,36861707.0
204001,Kristaps Porziņģis,porzikr01,Kristaps PorziÅÄ£is,BOS,BOS,2023-24,36016200.0
1628369,Jayson Tatum,tatumja01,Jayson Tatum,BOS,BOS,2023-24,32600060.0
1627759,Jaylen Brown,brownja02,Jaylen Brown,BOS,BOS,2023-24,31830357.0
1628401,Derrick White,whitede01,Derrick White,BOS,BOS,2023-24,18357143.0
201143,Al Horford,horfoal01,Al Horford,BOS,BOS,2023-24,10000000.0
1630202,Payton Pritchard,pritcpa01,Payton Pritchard,BOS,BOS,2023-24,4037277.0
1628436,Luke Kornet,kornelu01,Luke Kornet,BOS,BOS,2023-24,2413304.0
1630531,Jaden Springer,sprinja01,Jaden Springer,BOS,BOS,2023-24,2226240.0
1629052,Oshae Brissett,brissos01,Oshae Brissett,BOS,BOS,2023-24,2165000.0
1629004,Svi Mykhailiuk,mykhasv01,Svi Mykhailiuk,BOS,BOS,2023-24,2019706.0
1630214,Xavier Tillman,tillmxa01,Xavier Tillman,BOS,BOS,2023-24,1930681.0
1630573,Sam Hauser,hausesa01,Sam Hauser,BOS,BOS,2023-24,1927896.0
1641775,Jordan Walsh,walshjo01,Jordan Walsh,BOS,BOS,2023-24,1119563.0
1627743,Demetrius Jackson,jacksde01,Demetrius Jackson,BOS,BOS,2023-24,92857.0
1629674,Neemias Queta,quetane01,Neemias Queta,BOS,BOS,2023-24,81253.0
1631120,JD Davison,davisjd01,JD Davison,BOS,BOS,2023-24,
1630206,Jay Scrubb,scrubja01,Jay Scrubb,BOS,BOS,2023-24,
1630233,Nathan Knight,knighna01,Nathan Knight,BOS,BOS,2023-24,
1641809,Drew Peterson,peterdr01,Drew Peterson,BOS,BOS,2023-24,
1627732,Ben Simmons,simmobe01,Ben Simmons,BKN,BRK,2023-24,37893408.0
1629661,Cameron Johnson,johnsca02,Cameron Johnson,BKN,BRK,2023-24,25679348.0
1628969,Mikal Bridges,bridgmi01,Mikal Bridges,BKN,BRK,2023-24,21700000.0
1627827,Dorian Finney-Smith,finnedo01,Dorian Finney-Smith,BKN,BRK,2023-24,13932008.0
203471,Dennis Schröder,schrode01,Dennis SchrÃ¶der,BKN,BRK,2023-24,12405000.0
1629651,Nic Claxton,claxtni01,Nic Claxton,BKN,BRK,2023-24,9625000.0
201152,Thaddeus Young,youngth01,Thaddeus Young,PHX,BRK,2023-24,8000000.0
1641730,Noah Clowney,clownno01,Noah Clowney,BKN,BRK,2023-24,3089520.0
1641727,Dariq Whitehead,whiteda01,Dariq Miller-Whitehead,BKN,BRK,2023-24,2966040.0
1628966,Keita Bates-Diop,bateske01,Keita Bates-Diop,BKN,BRK,2023-24,2346614.0
1630560,Cam Thomas,thomaca02,Cam Thomas,BKN,BRK,2023-24,2240160.0
1630549,Day'Ron Sharpe,sharpda01,Day'Ron Sharpe,BKN,BRK,2023-24,2210040.0
1628372,Dennis Smith Jr.,smithde03,Dennis Smith,BKN,BRK,2023-24,2019706.0
1628385,Harry Giles III,gilesha01,Harry Giles,LAL,BRK,2023-24,2019706.0
1630570,Trendon Watford,watfotr01,Trendon Watford,BKN,BRK,2023-24,2019706.0
1629022,Lonnie Walker IV,walkelo01,Lonnie Walker,BKN,BRK,2023-24,2019706.0
1630692,Jordan Goodwin,goodwjo01,Jordan Goodwin,MEM,BRK,2023-24,1927896.0
1630592,Jalen Wilson,wilsoja03,Jalen Wilson,BKN,BRK,2023-24,850000.0
1629717,Armoni Brooks,brookar01,Armoni Brooks,BKN,BRK,2023-24,
1630553,Keon Johnson,johnske07,Keon Johnson,BKN,BRK,2023-24,
1641798,Jaylen Martin,martija02,Jaylen Martin,BKN,BRK,2023-24,
1631367,Jacob Gilyard,gilyaja01,Jacob Gilyard,BKN,BRK,2023-24,
200768,Kyle Lowry,lowryky01,Kyle Lowry,PHI,CHO,2023-24,29682540.0
202722,Dāvis Bertāns,bertada01,DÄvis BertÄns,CHA,CHO,2023-24,17000000.0
1629684,Grant Williams,willigr01,Grant Williams,CHA,CHO,2023-24,12405000.0
