id,full_name,id_in_br,full_name_in_br,team,br_team,season,salary
1628381,John Collins,collijo01,John Collins,ATL,ATL,2021-22,23000000
201568,Danilo Gallinari,gallida01,Danilo Gallinari,ATL,ATL,2021-22,20475000
203992,Bogdan Bogdanović,bogdabo01,Bogdan BogdanoviÄ,ATL,ATL,2021-22,18000000
203991,Clint Capela,capelca01,Clint Capela,ATL,ATL,2021-22,17103448
1626153,Delon Wright,wrighde01,Delon Wright,ATL,ATL,2021-22,8526316
1629027,Trae Young,youngtr01,Trae Young,ATL,ATL,2021-22,8326471
1629631,De'Andre Hunter,huntede01,De'Andre Hunter,ATL,ATL,2021-22,7775400
1630168,Onyeka Okongwu,okongon01,Onyeka Okongwu,ATL,ATL,2021-22,6104280
1628995,Kevin Knox II,knoxke01,Kevin Knox,ATL,ATL,2021-22,5845978
101150,Lou Williams,willilo02,Lou Williams,ATL,ATL,2021-22,5000000
1628989,Kevin Huerter,huertke01,Kevin Huerter,ATL,ATL,2021-22,4253357
203476,Gorgui Dieng,dienggo01,Gorgui Dieng,ATL,ATL,2021-22,4000000
1630552,Jalen Johnson,johnsja05,Jalen Johnson,ATL,ATL,2021-22,2659560
1627789,Timothe Luwawu-Cabarrot,luwawti01,TimothÃ© Luwawu-Cabarrot,ATL,ATL,2021-22,1939350
202362,Lance Stephenson,stephla01,Lance Stephenson,IND,ATL,2021-22,138019
1628411,Wes Iwundu,iwundwe01,Wes Iwundu,ATL,ATL,2021-22,102831
1629598,Chris Clemons,clemoch01,Chris Clemons,ATL,ATL,2021-22,95930
1628419,Cameron Oliver,oliveca01,Cameron Oliver,ATL,ATL,2021-22,85578
1630792,Malcolm Hill,hillma01,Malcolm Hill,CHI,ATL,2021-22,53176
,未知,ellisma01,Malik Ellison,ATL,ATL,2021-22,53176
,未知,tillmju01,Justin Tillman,ATL,ATL,2021-22,53176
1630602,Chaundee Brown Jr.,brownch05,Chaundee Brown,ATL,ATL,2021-22,53176
1627760,Cat Barber,barbeca01,Cat Barber,ATL,ATL,2021-22,53176
1630219,Skylar Mays,mayssk01,Skylar Mays,ATL,ATL,2021-22,34231
1630536,Sharife Cooper,coopesh01,Sharife Cooper,ATL,ATL,2021-22,0
1628369,Jayson Tatum,tatumja01,Jayson Tatum,BOS,BOS,2021-22,28103550
201143,Al Horford,horfoal01,Al Horford,BOS,BOS,2021-22,27000000
1627759,Jaylen Brown,brownja02,Jaylen Brown,BOS,BOS,2021-22,24830357
1628401,Derrick White,whitede01,Derrick White,BOS,BOS,2021-22,15178571
203935,Marcus Smart,smartma01,Marcus Smart,BOS,BOS,2021-22,13839285
1628464,Daniel Theis,theisda01,Daniel Theis,BOS,BOS,2021-22,8280351
1629057,Robert Williams III,williro04,Robert Williams,BOS,BOS,2021-22,3661976
1630174,Aaron Nesmith,nesmiaa01,Aaron Nesmith,BOS,BOS,2021-22,3631200
1629684,Grant Williams,willigr01,Grant Williams,BOS,BOS,2021-22,2617800
1630202,Payton Pritchard,pritcpa01,Payton Pritchard,BOS,BOS,2021-22,2137440
203953,Jabari Parker,parkeja01,Jabari Parker,BOS,BOS,2021-22,1168288
1627824,Guerschon Yabusele,yabusgu01,Guerschon Yabusele,BOS,BOS,2021-22,1039080
1628436,Luke Kornet,kornelu01,Luke Kornet,BOS,BOS,2021-22,606702
203917,Nik Stauskas,stausni01,Nik Stauskas,BOS,BOS,2021-22,423536
1630238,Malik Fitts,fittsma01,Malik Fitts,BOS,BOS,2021-22,402218
1630573,Sam Hauser,hausesa01,Sam Hauser,BOS,BOS,2021-22,313737
1629103,Kelan Martin,martike03,Kelan Martin,BOS,BOS,2021-22,191860
101139,CJ Miles,milescj01,C.J. Miles,BOS,BOS,2021-22,151821
202329,Al-Farouq Aminu,aminual01,Al-Farouq Aminu,BOS,BOS,2021-22,151821
2207,Joe Johnson,johnsjo02,Joe Johnson,BOS,BOS,2021-22,151821
1629752,Juwan Morgan,morgaju01,Juwan Morgan,BOS,BOS,2021-22,115116
1628382,Justin Jackson,jacksju01,Justin Jackson,PHX,BOS,2021-22,102831
203658,Norvel Pelle,pelleno01,Norvel Pelle,UTA,BOS,2021-22,95930
1627743,Demetrius Jackson,jacksde01,Demetrius Jackson,BOS,BOS,2021-22,92857
1630346,Matt Ryan,ryanma01,Matt Ryan,BOS,BOS,2021-22,0
1630271,Brodric Thomas,thomabr01,Brodric Thomas,BOS,BOS,2021-22,0
201142,Kevin Durant,duranke01,Kevin Durant,BKN,BRK,2021-22,40918900
202681,Kyrie Irving,irvinky01,Kyrie Irving,BKN,BRK,2021-22,34916200
1627732,Ben Simmons,simmobe01,Ben Simmons,BKN,BRK,2021-22,33003936
203925,Joe Harris,harrijo01,Joe Harris,BKN,BRK,2021-22,17357143
203552,Seth Curry,curryse01,Seth Curry,BKN,BRK,2021-22,8207518
201988,Patty Mills,millspa02,Patty Mills,BKN,BRK,2021-22,5890000
1628971,Bruce Brown,brownbr01,Bruce Brown,BKN,BRK,2021-22,4736102
1628975,Jevon Carter,carteje01,Jevon Carter,MIL,BRK,2021-22,3650000
201949,James Johnson,johnsja01,James Johnson,BKN,BRK,2021-22,2641691
201933,Blake Griffin,griffbl01,Blake Griffin,BKN,BRK,2021-22,2641691
200746,LaMarcus Aldridge,aldrila01,LaMarcus Aldridge,BKN,BRK,2021-22,2641691
203083,Andre Drummond,drumman01,Andre Drummond,BKN,BRK,2021-22,2401537
1628410,Edmond Sumner,sumneed01,Edmond Sumner,BKN,BRK,2021-22,2320000
1626143,Jahlil Okafor,okafoja01,Jahlil Okafor,BKN,BRK,2021-22,2130023
1630560,Cam Thomas,thomaca02,Cam Thomas,BKN,BRK,2021-22,2036280
1630549,Day'Ron Sharpe,sharpda01,Day'Ron Sharpe,BKN,BRK,2021-22,2009040
1627761,DeAndre' Bembry,bembrde01,DeAndre' Bembry,MIL,BRK,2021-22,1939350
1629651,Nic Claxton,claxtni01,Nic Claxton,BKN,BRK,2021-22,1782621
201609,Goran Dragic,dragigo01,Goran DragiÄ,BKN,BRK,2021-22,728742
204038,Langston Galloway,gallola01,Langston Galloway,MIL,BRK,2021-22,257418
1627885,Shaquille Harrison,harrish01,Shaquille Harrison,BKN,BRK,2021-22,205662
203516,James Ennis III,ennisja01,James Ennis,DEN,BRK,2021-22,126528
1629117,Wenyen Gabriel,gabriwe01,Wenyen Gabriel,LAL,BRK,2021-22,99380
1630556,Kessler Edwards,edwarke02,Kessler Edwards,BKN,BRK,2021-22,5318
1630561,David Duke Jr.,dukeda01,David Duke,BKN,BRK,2021-22,0
