id,full_name,id_in_br,full_name_in_br,team,br_team,season,salary
201143,Al Horford,horfoal01,Al Horford,ATL,ATL,2014-15,12000000.0
200794,Paul Millsap,millspa01,Paul Millsap,ATL,ATL,2014-15,9500000.0
201952,Jeff Teague,teaguje01,Jeff Teague,ATL,ATL,2014-15,8000000.0
2594,Kyle Korver,korveky01,Kyle Korver,ATL,ATL,2014-15,6253521.0
200757,Thabo Sefolosha,sefolth01,Thabo Sefolosha,ATL,ATL,2014-15,4150000.0
203118,Mike Scott,scottmi01,Mike Scott,ATL,ATL,2014-15,3333333.0
201960,DeMarre Carroll,carrode01,DeMarre Carroll,ATL,ATL,2014-15,2442455.0
202714,Shelvin Mack,macksh01,Shelvin Mack,ATL,ATL,2014-15,2433333.0
203145,Kent Bazemore,bazemke01,Kent Bazemore,ATL,ATL,2014-15,2000000.0
1882,Elton Brand,brandel01,Elton Brand,ATL,ATL,2014-15,2000000.0
203471,Dennis Schröder,schrode01,Dennis Schroder,ATL,ATL,2014-15,1690680.0
203098,John Jenkins,jenkijo01,John Jenkins,ATL,ATL,2014-15,1312920.0
203544,Pero Antic,anticpe01,Pero Antic,ATL,ATL,2014-15,1250000.0
2422,John Salmons,salmojo01,John Salmons,NOP,ATL,2014-15,1000000.0
203488,Mike Muscala,muscami01,Mike Muscala,ATL,ATL,2014-15,816482.0
201948,Austin Daye,dayeau01,Austin Daye,ATL,ATL,2014-15,125104.0
204067,Jarell Eddie,eddieja01,Jarell Eddie,ATL,ATL,2014-15,29843.0
2222,Gerald Wallace,wallage01,Gerald Wallace,BOS,BOS,2014-15,10105855.0
202738,Isaiah Thomas,thomais02,Isaiah Thomas,BOS,BOS,2014-15,7238606.0
202340,Avery Bradley,bradlav01,Avery Bradley,BOS,BOS,2014-15,7191011.0
101138,Brandon Bass,bassbr01,Brandon Bass,BOS,BOS,2014-15,6900000.0
201973,Jonas Jerebko,jerebjo01,Jonas Jerebko,BOS,BOS,2014-15,4500000.0
203935,Marcus Smart,smartma01,Marcus Smart,BOS,BOS,2014-15,3283320.0
202323,Evan Turner,turneev01,Evan Turner,BOS,BOS,2014-15,3278000.0
101198,Will Bynum,bynumwi01,Will Bynum,WAS,BOS,2014-15,2915908.0
101126,Nate Robinson,robinna01,Nate Robinson,DEN,BOS,2014-15,2106720.0
203543,Vitor Faverani,favervi01,Vitor Faverani,BOS,BOS,2014-15,2090000.0
203482,Kelly Olynyk,olynyke01,Kelly Olynyk,BOS,BOS,2014-15,2075760.0
203540,Gigi Datome,datomlu01,Luigi Datome,BOS,BOS,2014-15,1750000.0
203092,Tyler Zeller,zellety01,Tyler Zeller,BOS,BOS,2014-15,1703760.0
203923,James Young,youngja01,James Young,BOS,BOS,2014-15,1674480.0
203096,Jared Sullinger,sullija01,Jared Sullinger,BOS,BOS,2014-15,1424520.0
203109,Jae Crowder,crowdja01,Jae Crowder,BOS,BOS,2014-15,915243.0
201604,Chris Douglas-Roberts,douglch01,Chris Douglas-Roberts,LAC,BOS,2014-15,915243.0
203515,Phil Pressey,pressph01,Phil Pressey,BOS,BOS,2014-15,816482.0
203513,Erik Murphy,murpher01,Erik Murphy,BOS,BOS,2014-15,100000.0
203958,Andre Dawkins,dawkian01,Andre Dawkins,MIA,BOS,2014-15,59686.0
203569,Chris Babb,babbch01,Chris Babb,BOS,BOS,2014-15,48028.0
2207,Joe Johnson,johnsjo02,Joe Johnson,BKN,BRK,2014-15,23180790.0
101114,Deron Williams,willide01,Deron Williams,BKN,BRK,2014-15,19754465.0
