id,full_name,id_in_br,full_name_in_br,team,br_team,season,salary
202718,Chandler Parsons,parsoch01,Chandler Parsons,ATL,ATL,2019-20,25102511
201952,Jeff Teague,teaguje01,Jeff Teague,ATL,ATL,2019-20,19000000
203991,Clint Capela,capelca01,Clint Capela,ATL,ATL,2019-20,14896552
203473,Dewayne Dedmon,dedmode01,Dewayne Dedmon,ATL,ATL,2019-20,13333333
1629631,De'Andre Hunter,huntede01,De'Andre Hunter,ATL,ATL,2019-20,7068360
1629027,Trae Young,youngtr01,Trae Young,ATL,ATL,2019-20,6273000
1629629,Cam Reddish,reddica01,Cam Reddish,ATL,ATL,2019-20,4245720
1628381,John Collins,collijo01,John Collins,ATL,ATL,2019-20,2686560
1628989,Kevin Huerter,huertke01,Kevin Huerter,ATL,ATL,2019-20,2636280
1627761,DeAndre' Bembry,bembrde01,DeAndre' Bembry,ATL,ATL,2019-20,2603982
2403,Nene,hilarne01,NenÃª HilÃ¡rio,ATL,ATL,2019-20,2564753
1713,Vince Carter,cartevi01,Vince Carter,ATL,ATL,2019-20,2564753
1627746,Skal Labissiere,labissk01,Skal LabissiÃ¨re,ATL,ATL,2019-20,2338847
1627745,Damian Jones,jonesda03,Damian Jones,ATL,ATL,2019-20,2305057
1626203,Treveon Graham,grahatr01,Treveon Graham,ATL,ATL,2019-20,1645357
1628476,Derrick Walton Jr.,waltode01,Derrick Walton,DET,ATL,2019-20,1445697
1628981,Bruno Fernando,fernabr01,Bruno Fernando,ATL,ATL,2019-20,1400000
1629164,Brandon Goodwin,goodwbr01,Brandon Goodwin,ATL,ATL,2019-20,522738
1627820,Tyrone Wallace,wallaty01,Tyrone Wallace,ATL,ATL,2019-20,502491
1629121,Jaylen Adams,adamsja01,Jaylen Adams,ATL,ATL,2019-20,100000
1628778,Paul Watson,watsopa01,Paul Watson,TOR,ATL,2019-20,50752
1629718,Charlie Brown Jr.,brownch02,Charlie Brown,ATL,ATL,2019-20,0
202689,Kemba Walker,walkeke02,Kemba Walker,BOS,BOS,2019-20,32742000
202330,Gordon Hayward,haywago01,Gordon Hayward,BOS,BOS,2019-20,32700690
203935,Marcus Smart,smartma01,Marcus Smart,BOS,BOS,2019-20,11768879
1628369,Jayson Tatum,tatumja01,Jayson Tatum,BOS,BOS,2019-20,7830000
1627759,Jaylen Brown,brownja02,Jaylen Brown,BOS,BOS,2019-20,6534829
1628464,Daniel Theis,theisda01,Daniel Theis,BOS,BOS,2019-20,5000000
202683,Enes Freedom,kanteen01,Enes Freedom,BOS,BOS,2019-20,4767000
1629641,Romeo Langford,langfro01,Romeo Langford,BOS,BOS,2019-20,3458400
1629738,Vincent Poirier,poirivi01,Vincent Poirier,BOS,BOS,2019-20,2505793
1629684,Grant Williams,willigr01,Grant Williams,BOS,BOS,2019-20,2379840
1629057,Robert Williams III,williro04,Robert Williams,BOS,BOS,2019-20,1937520
1628400,Semi Ojeleye,ojelese01,Semi Ojeleye,BOS,BOS,2019-20,1618520
202954,Brad Wanamaker,wanambr01,Brad Wanamaker,BOS,BOS,2019-20,1355341
1629035,Carsen Edwards,edwarca01,Carsen Edwards,BOS,BOS,2019-20,1228026
1627824,Guerschon Yabusele,yabusgu01,Guerschon Yabusele,BOS,BOS,2019-20,1039080
1629750,Javonte Green,greenja02,Javonte Green,BOS,BOS,2019-20,898310
1629622,Max Strus,strusma01,Max Strus,CHI,BOS,2019-20,415414
1627743,Demetrius Jackson,jacksde01,Demetrius Jackson,BOS,BOS,2019-20,92857
1629682,Tremont Waters,watertr01,Tremont Waters,BOS,BOS,2019-20,0
1629605,Tacko Fall,fallta01,Tacko Fall,BOS,BOS,2019-20,0
201142,Kevin Durant,duranke01,Kevin Durant,BKN,BRK,2019-20,37199000
202681,Kyrie Irving,irvinky01,Kyrie Irving,BKN,BRK,2019-20,31742000
203915,Spencer Dinwiddie,dinwisp01,Spencer Dinwiddie,BKN,BRK,2019-20,10605600
201599,DeAndre Jordan,jordade01,DeAndre Jordan,BKN,BRK,2019-20,9881598
203925,Joe Harris,harrijo01,Joe Harris,BKN,BRK,2019-20,7666667
101114,Deron Williams,willide01,Deron Williams,BKN,BRK,2019-20,5474787
202066,Garrett Temple,templga01,Garrett Temple,BKN,BRK,2019-20,4767000
1627752,Taurean Prince,princta02,Taurean Prince,BKN,BRK,2019-20,3481986
1627747,Caris LeVert,leverca01,Caris LeVert,BKN,BRK,2019-20,2625718
201163,Wilson Chandler,chandwi01,Wilson Chandler,BKN,BRK,2019-20,2564753
1628386,Jarrett Allen,allenja01,Jarrett Allen,BKN,BRK,2019-20,2376840
1629058,Dzanan Musa,musadz01,DÅ¾anan Musa,BKN,BRK,2019-20,1911600
1629066,Rodions Kurucs,kurucro01,Rodions Kurucs,BKN,BRK,2019-20,1699236
1628021,David Nwaba,nwabada01,David Nwaba,HOU,BRK,2019-20,1678854
1629651,Nic Claxton,claxtni01,Nic Claxton,BKN,BRK,2019-20,898310
1627789,Timothe Luwawu-Cabarrot,luwawti01,TimothÃ© Luwawu-Cabarrot,BKN,BRK,2019-20,844170
202697,Iman Shumpert,shumpim01,Iman Shumpert,BKN,BRK,2019-20,419443
1626147,Justin Anderson,anderju01,Justin Anderson,BKN,BRK,2019-20,294432
2037,Jamal Crawford,crawfja01,Jamal Crawford,BKN,BRK,2019-20,289803
202498,Lance Thomas,thomala01,Lance Thomas,BKN,BRK,2019-20,262152
204020,Tyler Johnson,johnsty01,Tyler Johnson,BKN,BRK,2019-20,212753
1629743,Donta Hall,halldo01,Donta Hall,BKN,BRK,2019-20,101504
1629725,Jeremiah Martin,martije02,Jeremiah Martin,BKN,BRK,2019-20,0
1629185,Chris Chiozza,chiozch01,Chris Chiozza,BKN,BRK,2019-20,0
