"team","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance","season"
"ATL",13,78,0.5,0,0,2,12,5,5,6,0.451388888888889,0.451388888888889,NA,NA,0.155765993265993,0.425534046391595,3,0.0588428665351742,2,0,3,0.0758477096966092,0.0758477096966092,5.2384675821255,5.45355774334799,2.1913499677097,"2022-23"
"BOS",12,86,0.651515151515151,0,0,1,12,5,3,6,0.380165289256198,0.28099173553719,NA,0.23231314140405,0.127036599763872,0.293549933633821,4,0.0287993510005408,2,0,3,0.0303703703703704,0.0303703703703704,5.86122733716566,5.95382157052548,4.39767251065579,"2022-23"
"BKN",16,115,0.479166666666667,2,2,1,16,5,5,6,0.484444444444444,0.413333333333333,0.328660613054206,0.276151713725187,0.212971071256786,0.455762064074749,2,0.163478260869565,4,0.106994328922495,3,0.170697908793147,0.170697908793147,5.43065271663095,5.65162849202922,4.26823682083749,"2022-23"
"CHA",13,88,0.564102564102564,1,1,1,13,5,3,6,0.472222222222222,0.381944444444444,0.327996461742592,0.245184601618425,0.183364898989899,0.37211677812708,1,0,1,0,2,0.0742417383431417,0.0742417383431417,1.17552305303131,1.22837995256608,-2.3752583885088,"2022-23"
"CHI",11,90,0.818181818181818,5,5,1,11,5,2,7,0.2,0.2,0.163241758241758,0.166190476190476,0.0270740740740741,0.169677067071139,2,0.00734567901234568,1,0,2,0.0189035916824197,0.0189035916824197,2.40628435994574,2.46772214444514,1.8761902956884,"2022-23"
"CLE",11,78,0.709090909090909,3,3,1,11,5,2,6,0.32,0.32,0.244401260504202,0.252165750915751,0.0768888888888889,0.278316069730697,1,0,1,0,2,0.0105462412114657,0.0105462412114657,2.6639417232535,1.76460150001725,0.509323512561117,"2022-23"
"DAL",14,88,0.483516483516484,0,0,2,13,5,4,6,0.473372781065089,0.390532544378698,NA,NA,0.176331360946746,0.415688337961655,5,0.00807076446280994,2,0,3,0.0622829861111111,0.0622829861111111,6.55585978750413,6.36536371107629,2.34392954046502,"2022-23"
"DEN",15,98,0.466666666666667,0,0,1,15,5,5,6,0.494897959183673,0.494897959183673,NA,0.37031695378403,0.295483852881812,0.460962958796401,4,0.0858496459808413,4,0.0465431070387339,3,0.115199704142012,0.115199704142012,4.74349258392888,4.84174203908945,1.97544225504387,"2022-23"
"DET",14,93,0.510989010989011,2,2,1,14,5,5,6,0.526627218934911,0.526627218934911,0.34459246917881,0.35524795047611,0.195545693622617,0.421252704926678,1,0,1,0,2,0.0712,0.0712,1.14294549464163,1.15005138322884,-3.84308576447526,"2022-23"
"GSW",12,95,0.71969696969697,1,1,1,12,5,3,7,0.305785123966942,0.305785123966942,0.231483222659693,0.240124581301052,0.154734356552538,0.241796850225874,1,0,1,0,2,0.0382,0.0382,5.80803895958175,5.74527658015847,5.1231047775765,"2022-23"
